AccountId,AccountName,AccountType,AccountTier,Industry,AnnualRevenue,EmployeeCount,City,StateProvince,Country,SalesTerritoryId,CustomerSinceDate,StrategicAccountFlag,PrimaryPowertrainFocus,AccountStatus
001000000000030AAA,Northfield Transport Group,OEM,Standard,Automotive Manufacturing,9574814117,14730,Boston,Massachusetts,USA,TerritoryNE,2024-05-01,false,ICE,Active
001000000000031AAA,Cedar Transport Group,OEM,Standard,Automotive Manufacturing,10044263305,15453,Milwaukee,Wisconsin,USA,TerritoryGL,2013-09-20,false,ICE,Active
001000000000032AAA,Beacon Performance Parts,OEM,Standard,Automotive Manufacturing,9504878780,14623,Columbus,Ohio,USA,TerritoryGL,2011-03-30,false,ICE,Active
001000000000033AAA,Eastgate Manufacturing,OEM,Silver,Automotive Manufacturing,13772598790,21189,Austin,Texas,USA,TerritorySC,2023-08-31,false,Both,Active
001000000000034AAA,Meridian Distribution,Tier 1 Supplier,Gold,Automotive Manufacturing,4002355590,9529,Columbus,Ohio,USA,TerritoryGL,2008-07-24,true,Both,Active
001000000000035AAA,Northfield Assembly,Tier 1 Supplier,Silver,Automotive Manufacturing,2510823624,5978,Charlotte,North Carolina,USA,TerritorySE,2015-05-22,false,Both,Active
001000000000036AAA,Silverline Powertrain,Tier 1 Supplier,Silver,Automotive Manufacturing,2747790572,6542,Monterrey,Nuevo León,Mexico,TerritoryMexico,2014-10-28,false,ICE,Active
001000000000037AAA,Frontier Automotive,Tier 1 Supplier,Silver,Automotive Manufacturing,2221737813,5290,Columbus,Ohio,USA,TerritoryGL,2010-06-10,false,Both,Active
001000000000038AAA,Prairie Components,Tier 1 Supplier,Silver,Automotive Manufacturing,3332995380,7936,Louisville,Kentucky,USA,TerritorySE,2020-01-18,false,Both,Active
001000000000039AAA,Timberline Motor Systems,Tier 1 Supplier,Gold,Automotive Manufacturing,4462528191,10625,Fort Wayne,Indiana,USA,TerritoryGL,2025-03-20,true,ICE,Active
001000000000040AAA,Frontier Assembly,Tier 1 Supplier,Silver,Automotive Manufacturing,2924099423,6962,Grand Rapids,Michigan,USA,TerritoryGL,2011-03-25,false,Both,Active
001000000000041AAA,Suncrest Manufacturing,Tier 1 Supplier,Standard,Automotive Manufacturing,2632671720,6268,Puebla,Puebla,Mexico,TerritoryMexico,2017-07-12,false,Both,Active
001000000000042AAA,Crescent Industrial Supply,Tier 1 Supplier,Standard,Automotive Manufacturing,2035390601,4846,Silao,Guanajuato,Mexico,TerritoryMexico,2020-10-01,false,Hybrid,Active
001000000000043AAA,Alder Industrial Supply,Tier 1 Supplier,Standard,Automotive Manufacturing,1324916062,3155,Greenville,South Carolina,USA,TerritorySE,2018-06-07,false,ICE,Active
001000000000044AAA,Westgate Performance Parts,Tier 1 Supplier,Silver,Automotive Manufacturing,2523416793,6008,Montreal,Quebec,Canada,TerritoryCanada,2008-12-06,false,Both,Active
001000000000045AAA,Meridian Distribution 78,Tier 1 Supplier,Standard,Automotive Manufacturing,1418912255,3378,Atlanta,Georgia,USA,TerritorySE,2020-12-15,false,ICE,Active
001000000000046AAA,Crown Fleet Solutions,Tier 1 Supplier,Standard,Automotive Manufacturing,1262262500,3005,Newark,New Jersey,USA,TerritoryNE,2021-06-20,false,ICE,Active
001000000000047AAA,Harbor Transport Group,Tier 1 Supplier,Standard,Automotive Manufacturing,1397514587,3327,Louisville,Kentucky,USA,TerritorySE,2022-06-14,false,Both,Active
001000000000048AAA,Union Automotive,Tier 1 Supplier,Gold,Automotive Manufacturing,3943306032,9389,Little Rock,Arkansas,USA,TerritorySC,2019-01-10,false,ICE,Active
001000000000049AAA,Lakeview Fleet Solutions,Tier 1 Supplier,Standard,Automotive Manufacturing,2240766803,5335,Detroit,Michigan,USA,TerritoryGL,2016-03-05,false,Both,Active
001000000000050AAA,Granite Fleet Solutions,Tier 1 Supplier,Standard,Automotive Manufacturing,1830381231,4358,Dallas,Texas,USA,TerritorySC,2011-12-03,false,Hybrid,Active
001000000000051AAA,Prairie Motor Systems,Tier 1 Supplier,Silver,Automotive Manufacturing,2782202384,6624,Nashville,Tennessee,USA,TerritorySE,2011-03-12,false,ICE,Active
001000000000052AAA,Crown Fleet Solutions 43,Tier 1 Supplier,Gold,Automotive Manufacturing,4396785322,10469,Windsor,Ontario,Canada,TerritoryCanada,2020-03-11,false,ICE,Active
001000000000053AAA,Delta Mobility,Tier 1 Supplier,Standard,Automotive Manufacturing,1693750367,4033,Los Angeles,California,USA,TerritoryWest,2013-11-01,false,Both,Active
001000000000054AAA,Stonebridge Powertrain,Tier 1 Supplier,Standard,Automotive Manufacturing,2303568744,5485,Baton Rouge,Louisiana,USA,TerritorySC,2019-02-09,false,ICE,Active
001000000000055AAA,Beacon Vehicle Systems,Tier 1 Supplier,Gold,Automotive Manufacturing,4258716627,10140,Toledo,Ohio,USA,TerritoryGL,2011-10-14,false,ICE,Active
001000000000056AAA,Valley Assembly,Tier 1 Supplier,Silver,Automotive Manufacturing,2602733442,6197,Baton Rouge,Louisiana,USA,TerritorySC,2008-03-07,false,ICE,Active
001000000000057AAA,Silverline Assembly,Tier 1 Supplier,Silver,Automotive Manufacturing,2940199460,7000,Newark,New Jersey,USA,TerritoryNE,2012-08-07,false,Both,Active
001000000000058AAA,Valley Performance Parts,Tier 1 Supplier,Gold,Automotive Manufacturing,3579654112,8523,Oshawa,Ontario,Canada,TerritoryCanada,2023-07-24,false,Both,Active
001000000000059AAA,Ridgeway Vehicle Systems,Tier 1 Supplier,Silver,Automotive Manufacturing,2872787992,6840,Denver,Colorado,USA,TerritoryWest,2013-08-27,false,Both,Active
001000000000060AAA,Westgate Automotive,Tier 1 Supplier,Standard,Automotive Manufacturing,1765278903,4203,Buffalo,New York,USA,TerritoryNE,2011-07-12,false,Both,Active
001000000000061AAA,Meridian Distribution 91,Tier 1 Supplier,Silver,Automotive Manufacturing,3042467037,7244,Seattle,Washington,USA,TerritoryWest,2019-04-08,false,Hybrid,Active
001000000000062AAA,Central Mobility,Tier 1 Supplier,Silver,Automotive Manufacturing,2069222932,4927,Newark,New Jersey,USA,TerritoryNE,2016-10-25,false,ICE,Active
001000000000063AAA,Windward Vehicle Systems,Tier 1 Supplier,Standard,Automotive Manufacturing,2127464049,5065,Fort Wayne,Indiana,USA,TerritoryGL,2010-10-16,false,ICE,Active
001000000000064AAA,Crescent Mobility,Tier 1 Supplier,Silver,Automotive Manufacturing,2828524084,6735,Dallas,Texas,USA,TerritorySC,2014-04-27,false,ICE,Active
001000000000065AAA,Canyon Motor Systems,Tier 1 Supplier,Gold,Automotive Manufacturing,4696780457,11183,Denver,Colorado,USA,TerritoryWest,2010-03-04,false,ICE,Active
001000000000066AAA,Atlas Powertrain,Tier 1 Supplier,Standard,Automotive Manufacturing,2012582027,4792,Birmingham,Alabama,USA,TerritorySE,2021-09-10,false,Hybrid,Active
001000000000067AAA,Pacific Transport Group,Tier 1 Supplier,Standard,Automotive Manufacturing,1925569843,4585,Tulsa,Oklahoma,USA,TerritorySC,2013-09-24,false,Both,Active
001000000000068AAA,Suncrest Performance Parts,Tier 1 Supplier,Silver,Automotive Manufacturing,2434927711,5797,Birmingham,Alabama,USA,TerritorySE,2015-09-07,false,ICE,Active
001000000000069AAA,Crescent Engineering,Tier 1 Supplier,Standard,Automotive Manufacturing,1655667279,3942,Nashville,Tennessee,USA,TerritorySE,2012-11-23,false,ICE,Active
001000000000070AAA,Pacific Automotive,Tier 1 Supplier,Standard,Automotive Manufacturing,1720591145,4097,San Jose,California,USA,TerritoryWest,2018-06-14,false,Both,Active
001000000000071AAA,Union Motor Systems,Tier 1 Supplier,Silver,Automotive Manufacturing,3004366067,7153,Portland,Oregon,USA,TerritoryWest,2015-08-30,false,Both,Active
001000000000072AAA,Liberty Manufacturing,Tier 1 Supplier,Standard,Automotive Manufacturing,1941563728,4623,Pittsburgh,Pennsylvania,USA,TerritoryNE,2016-07-19,false,Both,Active
001000000000073AAA,Maple Engineering,Tier 1 Supplier,Silver,Automotive Manufacturing,2388947596,5688,Dallas,Texas,USA,TerritorySC,2018-10-29,false,Hybrid,Active
001000000000074AAA,Maple Manufacturing,Tier 1 Supplier,Standard,Automotive Manufacturing,1644985743,3917,Dallas,Texas,USA,TerritorySC,2021-11-05,false,ICE,Active
001000000000075AAA,Suncrest Mobility,Tier 1 Supplier,Silver,Automotive Manufacturing,3284812924,7821,Pittsburgh,Pennsylvania,USA,TerritoryNE,2024-03-22,false,ICE,Active
001000000000076AAA,Valley Fleet Solutions,Tier 1 Supplier,Standard,Automotive Manufacturing,1597626057,3804,Buffalo,New York,USA,TerritoryNE,2016-08-15,false,Both,Active
001000000000077AAA,Liberty Components,Tier 1 Supplier,Silver,Automotive Manufacturing,2298291967,5472,Querétaro,Querétaro,Mexico,TerritoryMexico,2018-03-31,false,Both,Active
001000000000078AAA,Westgate Fleet Solutions,Tier 1 Supplier,Standard,Automotive Manufacturing,1539911650,3666,Grand Rapids,Michigan,USA,TerritoryGL,2014-11-12,false,Hybrid,Active
001000000000079AAA,Stonebridge Powertrain 34,Tier 1 Supplier,Silver,Automotive Manufacturing,1496000000,3562,Fort Wayne,Indiana,USA,TerritoryGL,2023-10-20,false,ICE,Active
001000000000080AAA,Eastgate Manufacturing 42,Tier 1 Supplier,Standard,Automotive Manufacturing,1689152543,4022,Milwaukee,Wisconsin,USA,TerritoryGL,2016-08-01,false,Both,Active
001000000000081AAA,Cobalt Performance Parts,Tier 1 Supplier,Standard,Automotive Manufacturing,990228957,2358,Puebla,Puebla,Mexico,TerritoryMexico,2013-09-11,false,ICE,Active
001000000000082AAA,Harbor Distribution,Tier 1 Supplier,Silver,Automotive Manufacturing,2477306807,5898,Los Angeles,California,USA,TerritoryWest,2011-01-26,false,ICE,Active
001000000000083AAA,Timberline Assembly,Tier 1 Supplier,Standard,Automotive Manufacturing,968000000,2305,Buffalo,New York,USA,TerritoryNE,2013-06-04,false,Both,Active
001000000000084AAA,Maple Performance Parts,Tier 1 Supplier,Silver,Automotive Manufacturing,2965085951,7060,Baton Rouge,Louisiana,USA,TerritorySC,2020-12-08,false,Both,Active
001000000000085AAA,Westgate Transport Group,Tier 1 Supplier,Silver,Automotive Manufacturing,2624673105,6249,Little Rock,Arkansas,USA,TerritorySC,2008-01-23,false,Both,Active
001000000000086AAA,Pacific Transport Group 88,Tier 1 Supplier,Silver,Automotive Manufacturing,2386177256,5681,Pittsburgh,Pennsylvania,USA,TerritoryNE,2020-03-11,false,Both,Active
001000000000087AAA,Pacific Powertrain,Tier 1 Supplier,Silver,Automotive Manufacturing,2705344194,6441,Denver,Colorado,USA,TerritoryWest,2024-04-16,false,Both,Active
001000000000088AAA,Union Fleet Solutions,Tier 1 Supplier,Standard,Automotive Manufacturing,2023509916,4818,Toledo,Ohio,USA,TerritoryGL,2009-12-13,false,ICE,Active
001000000000089AAA,Valley Mobility,Tier 1 Supplier,Silver,Automotive Manufacturing,3444755639,8202,Portland,Oregon,USA,TerritoryWest,2015-07-09,false,ICE,Active
001000000000090AAA,Prairie Assembly,Tier 1 Supplier,Gold,Automotive Manufacturing,4862596655,11578,Atlanta,Georgia,USA,TerritorySE,2008-03-30,false,Hybrid,Active
001000000000091AAA,Frontier Distribution,Tier 1 Supplier,Silver,Automotive Manufacturing,2940773129,7002,Columbus,Ohio,USA,TerritoryGL,2008-03-06,false,Both,Active
001000000000092AAA,Crescent Powertrain,Tier 1 Supplier,Standard,Automotive Manufacturing,1325015648,3155,Louisville,Kentucky,USA,TerritorySE,2011-01-17,false,ICE,Active
001000000000093AAA,Heritage Engineering,Tier 1 Supplier,Standard,Automotive Manufacturing,1375757150,3276,Monterrey,Nuevo León,Mexico,TerritoryMexico,2020-06-11,false,Hybrid,Active
001000000000094AAA,Silverline Components,Tier 1 Supplier,Standard,Automotive Manufacturing,2304049662,5486,Montreal,Quebec,Canada,TerritoryCanada,2018-09-28,false,ICE,Active
001000000000095AAA,Keystone Transport Group,Tier 1 Supplier,Standard,Automotive Manufacturing,2075856509,4943,Los Angeles,California,USA,TerritoryWest,2023-02-18,false,Both,Active
001000000000096AAA,Timberline Vehicle Systems,Tier 1 Supplier,Standard,Automotive Manufacturing,2088047637,4972,Puebla,Puebla,Mexico,TerritoryMexico,2016-10-06,false,Hybrid,Active
001000000000097AAA,Prairie Transport Group,Tier 1 Supplier,Gold,Automotive Manufacturing,2855734273,6799,Charlotte,North Carolina,USA,TerritorySE,2008-02-05,false,Both,Active
001000000000098AAA,Cedar Vehicle Systems,Tier 1 Supplier,Gold,Automotive Manufacturing,4505747634,10728,Denver,Colorado,USA,TerritoryWest,2009-01-09,false,ICE,Active
001000000000099AAA,Silverline Powertrain 19,Tier 1 Supplier,Silver,Automotive Manufacturing,2879747724,6857,Louisville,Kentucky,USA,TerritorySE,2011-06-06,false,Hybrid,Active
001000000000100AAA,Ridgeway Distribution,Tier 1 Supplier,Standard,Automotive Manufacturing,1660922653,3955,Austin,Texas,USA,TerritorySC,2018-07-14,false,ICE,Active
001000000000101AAA,Timberline Assembly 6,Tier 1 Supplier,Standard,Automotive Manufacturing,1335583037,3180,Toledo,Ohio,USA,TerritoryGL,2024-09-27,false,ICE,Active
001000000000102AAA,Union Fleet Solutions 69,Tier 1 Supplier,Standard,Automotive Manufacturing,1751791391,4171,Detroit,Michigan,USA,TerritoryGL,2018-01-29,false,Both,Active
001000000000103AAA,Maple Motor Systems,Tier 1 Supplier,Standard,Automotive Manufacturing,1496451043,3563,Portland,Oregon,USA,TerritoryWest,2024-12-08,false,Hybrid,Active
001000000000104AAA,Granite Assembly,Tier 1 Supplier,Standard,Automotive Manufacturing,1692015251,4029,Birmingham,Alabama,USA,TerritorySE,2020-03-15,false,Hybrid,Active
001000000000105AAA,Harbor Fleet Solutions,Tier 1 Supplier,Gold,Automotive Manufacturing,4852075085,11553,Grand Rapids,Michigan,USA,TerritoryGL,2010-12-10,false,Both,Active
001000000000106AAA,Beacon Engineering,Tier 1 Supplier,Standard,Automotive Manufacturing,2328246637,5543,Montreal,Quebec,Canada,TerritoryCanada,2012-02-24,false,Both,Active
001000000000107AAA,Windward Industrial Supply,Tier 1 Supplier,Silver,Automotive Manufacturing,3443532590,8199,Columbus,Ohio,USA,TerritoryGL,2019-01-29,false,Both,Active
001000000000108AAA,Silverline Performance Parts,Tier 1 Supplier,Silver,Automotive Manufacturing,3357457791,7994,Newark,New Jersey,USA,TerritoryNE,2019-10-01,false,Both,Active
001000000000109AAA,Valley Powertrain,Tier 1 Supplier,Standard,Automotive Manufacturing,1538481224,3663,Denver,Colorado,USA,TerritoryWest,2019-07-01,false,ICE,Active
001000000000110AAA,Pacific Performance Parts,Tier 1 Supplier,Standard,Automotive Manufacturing,2062229139,4910,Grand Rapids,Michigan,USA,TerritoryGL,2015-03-07,false,Hybrid,Active
001000000000111AAA,Keystone Distribution,Tier 1 Supplier,Silver,Automotive Manufacturing,2503768299,5961,Pittsburgh,Pennsylvania,USA,TerritoryNE,2015-10-02,false,ICE,Active
001000000000112AAA,Stonebridge Motor Systems,Tier 1 Supplier,Silver,Automotive Manufacturing,2756095944,6562,Phoenix,Arizona,USA,TerritoryWest,2012-10-10,false,Both,Active
001000000000113AAA,Ridgeway Manufacturing,Tier 1 Supplier,Standard,Automotive Manufacturing,1271002196,3026,Austin,Texas,USA,TerritorySC,2017-04-25,false,Both,Active
001000000000114AAA,Eastgate Automotive,Tier 1 Supplier,Silver,Automotive Manufacturing,2581859928,6147,Austin,Texas,USA,TerritorySC,2008-12-13,false,ICE,Active
001000000000115AAA,Cobalt Engineering,Tier 1 Supplier,Standard,Automotive Manufacturing,2200945530,5240,Windsor,Ontario,Canada,TerritoryCanada,2018-06-08,false,ICE,Active
001000000000116AAA,Suncrest Transport Group,Tier 1 Supplier,Standard,Automotive Manufacturing,1251142757,2979,Toledo,Ohio,USA,TerritoryGL,2011-04-10,false,ICE,Active
001000000000117AAA,Keystone Mobility,Tier 1 Supplier,Standard,Automotive Manufacturing,1611329391,3836,Portland,Oregon,USA,TerritoryWest,2023-06-16,false,Both,Active
001000000000118AAA,Alder Assembly,Tier 1 Supplier,Standard,Automotive Manufacturing,2459570365,5856,Pittsburgh,Pennsylvania,USA,TerritoryNE,2019-04-02,false,Both,Active
001000000000119AAA,Granite Transport Group,Tier 1 Supplier,Gold,Automotive Manufacturing,2200000000,5238,Little Rock,Arkansas,USA,TerritorySC,2022-08-16,false,ICE,Active
001000000000120AAA,Oakline Engineering,Tier 1 Supplier,Standard,Automotive Manufacturing,1449666220,3452,Grand Rapids,Michigan,USA,TerritoryGL,2012-09-04,false,Hybrid,Active
001000000000121AAA,Alder Components,Tier 1 Supplier,Standard,Automotive Manufacturing,2133820553,5081,Atlanta,Georgia,USA,TerritorySE,2019-02-02,false,ICE,Active
001000000000122AAA,Pinnacle Distribution,Tier 1 Supplier,Standard,Automotive Manufacturing,1670870319,3978,Toledo,Ohio,USA,TerritoryGL,2019-07-23,false,Both,Active
001000000000123AAA,Crescent Fleet Solutions,Tier 1 Supplier,Gold,Automotive Manufacturing,3366982556,8017,Toronto,Ontario,Canada,TerritoryCanada,2009-05-26,false,Both,Active
001000000000124AAA,Cedar Distribution 46,Tier 1 Supplier,Standard,Automotive Manufacturing,2181176705,5193,Phoenix,Arizona,USA,TerritoryWest,2013-05-02,false,ICE,Active
001000000000125AAA,Frontier Assembly 31,Tier 1 Supplier,Silver,Automotive Manufacturing,3566676391,8492,San Jose,California,USA,TerritoryWest,2015-07-08,false,ICE,Active
001000000000126AAA,Windward Distribution,Tier 1 Supplier,Silver,Automotive Manufacturing,1969058700,4688,Charlotte,North Carolina,USA,TerritorySE,2018-05-21,false,Both,Active
001000000000127AAA,Atlas Mobility,Tier 1 Supplier,Silver,Automotive Manufacturing,2791537466,6647,Louisville,Kentucky,USA,TerritorySE,2008-09-08,false,Hybrid,Active
001000000000128AAA,Blue Ridge Motor Systems,Tier 1 Supplier,Standard,Automotive Manufacturing,2084847355,4964,Denver,Colorado,USA,TerritoryWest,2023-09-06,false,Both,Active
001000000000129AAA,Cedar Motor Systems,Tier 1 Supplier,Silver,Automotive Manufacturing,2349440028,5594,Charlotte,North Carolina,USA,TerritorySE,2022-08-20,false,ICE,Active
001000000000130AAA,Crescent Engineering 66,Tier 1 Supplier,Gold,Automotive Manufacturing,2343153452,5579,Seattle,Washington,USA,TerritoryWest,2012-12-09,false,Hybrid,Active
001000000000131AAA,Alder Vehicle Systems,Tier 1 Supplier,Standard,Automotive Manufacturing,2197741615,5233,Tulsa,Oklahoma,USA,TerritorySC,2012-12-02,false,Both,Active
001000000000132AAA,Blue Ridge Performance Parts,Tier 2 Supplier,Standard,Automotive Manufacturing,416415756,991,Little Rock,Arkansas,USA,TerritorySC,2019-11-17,false,Both,Active
001000000000133AAA,Oakline Mobility,Tier 2 Supplier,Standard,Automotive Manufacturing,535212639,1274,Oshawa,Ontario,Canada,TerritoryCanada,2023-01-18,false,Hybrid,Active
001000000000134AAA,Ridgeway Fleet Solutions,Tier 2 Supplier,Gold,Automotive Manufacturing,1629686496,3880,Fort Wayne,Indiana,USA,TerritoryGL,2015-05-02,false,ICE,Active
001000000000135AAA,Crescent Automotive,Tier 2 Supplier,Standard,Automotive Manufacturing,429101400,1022,Charlotte,North Carolina,USA,TerritorySE,2015-04-13,false,ICE,Active
001000000000136AAA,Redwood Industrial Supply,Tier 2 Supplier,Standard,Automotive Manufacturing,320215970,762,Toronto,Ontario,Canada,TerritoryCanada,2022-04-29,false,Both,Active
001000000000137AAA,Harbor Engineering,Tier 2 Supplier,Standard,Automotive Manufacturing,494173036,1177,Detroit,Michigan,USA,TerritoryGL,2013-03-08,false,Both,Active
001000000000138AAA,Heritage Manufacturing,Tier 2 Supplier,Silver,Automotive Manufacturing,496811013,1183,Atlanta,Georgia,USA,TerritorySE,2021-05-25,false,Hybrid,Active
001000000000139AAA,Prairie Mobility,Tier 2 Supplier,Silver,Automotive Manufacturing,819225597,1951,Boston,Massachusetts,USA,TerritoryNE,2016-03-25,false,Hybrid,Active
001000000000140AAA,Union Fleet Solutions 74,Tier 2 Supplier,Standard,Automotive Manufacturing,525106398,1250,Austin,Texas,USA,TerritorySC,2024-10-16,false,ICE,Active
001000000000141AAA,Crown Fleet Solutions 29,Tier 2 Supplier,Standard,Automotive Manufacturing,475671654,1133,Oshawa,Ontario,Canada,TerritoryCanada,2015-02-01,false,Both,Active
001000000000142AAA,Liberty Mobility,Tier 2 Supplier,Standard,Automotive Manufacturing,717041013,1707,Louisville,Kentucky,USA,TerritorySE,2013-07-06,false,ICE,Active
001000000000143AAA,Silverline Performance Parts 98,Tier 2 Supplier,Silver,Automotive Manufacturing,772463376,1839,Fort Wayne,Indiana,USA,TerritoryGL,2019-08-20,false,Both,Active
001000000000144AAA,Central Manufacturing,Tier 2 Supplier,Standard,Automotive Manufacturing,583022784,1388,Phoenix,Arizona,USA,TerritoryWest,2023-06-06,false,ICE,Active
001000000000145AAA,Maple Distribution,Tier 2 Supplier,Silver,Automotive Manufacturing,533036079,1269,Milwaukee,Wisconsin,USA,TerritoryGL,2012-10-10,false,Both,Active
001000000000146AAA,Redwood Mobility,Tier 2 Supplier,Standard,Automotive Manufacturing,454398333,1082,Grand Rapids,Michigan,USA,TerritoryGL,2023-02-04,false,Both,Active
001000000000147AAA,Pacific Fleet Solutions,Tier 2 Supplier,Standard,Automotive Manufacturing,257125000,612,Grand Rapids,Michigan,USA,TerritoryGL,2009-10-30,false,Both,Active
001000000000148AAA,Granite Fleet Solutions 46,Tier 2 Supplier,Standard,Automotive Manufacturing,483459093,1151,Pittsburgh,Pennsylvania,USA,TerritoryNE,2021-10-22,false,Both,Active
001000000000149AAA,Crescent Motor Systems,Tier 2 Supplier,Silver,Automotive Manufacturing,557865505,1328,Columbus,Ohio,USA,TerritoryGL,2024-07-24,false,Both,Active
001000000000150AAA,Union Manufacturing,Tier 2 Supplier,Silver,Automotive Manufacturing,767498647,1827,Seattle,Washington,USA,TerritoryWest,2011-02-25,false,Both,Active
001000000000151AAA,Cobalt Industrial Supply,Tier 2 Supplier,Standard,Automotive Manufacturing,355540946,847,Seattle,Washington,USA,TerritoryWest,2016-01-04,false,Both,Active
001000000000152AAA,Frontier Industrial Supply,Tier 2 Supplier,Silver,Automotive Manufacturing,470375380,1120,Buffalo,New York,USA,TerritoryNE,2021-12-25,false,Both,Active
001000000000153AAA,Central Mobility 2,Tier 2 Supplier,Gold,Automotive Manufacturing,967801200,2304,Boston,Massachusetts,USA,TerritoryNE,2014-03-05,true,Both,Active
