OpportunityId,AsOfDate,OpportunityAge,OpportunityAgeBucket,SalesCycleDays,WeightedAmount,UniqueProductCount,UniqueProductFamilyCount,AverageDiscount,NetRevenue,GrossMarginAmount,GrossMarginRate,CloseDateSlipDays,CloseDateChangeCount,HybridProductShare,OpportunityHealthScore,OpportunityRiskScore,ForecastConfidence,HighRiskFlag,ProductAttachOpportunityFlag
006000000000017AAA,2026-06-30,146,91-180,146,,3,3,0.054665,784799.67,219348.56,0.279496,0,0,0.301066,,,,false,false
006000000000018AAA,2026-06-30,142,91-180,142,,3,3,0.078919,1077446.04,381001.77,0.353616,0,0,0.724725,,,,false,false
006000000000019AAA,2026-06-30,167,91-180,167,,3,3,0.067635,1021106.29,297141.88,0.291,0,0,1,,,,false,false
006000000000020AAA,2026-06-30,150,91-180,150,,3,3,0.060535,949971.71,294693.89,0.310213,0,0,0.35194,,,,false,false
006000000000021AAA,2026-06-30,143,91-180,143,,3,3,0.062838,1055677.63,302468.17,0.286516,0,0,0.27445,,,,false,false
006000000000022AAA,2026-06-30,158,91-180,158,,3,3,0.05046,1001547.4,318758.66,0.318266,0,0,0.347193,,,,false,false
006000000000023AAA,2026-06-30,880,365+,,440861.62,3,3,0.086135,1102154.05,334607.58,0.303594,0,0,0.354431,50,41,47,false,false
006000000000024AAA,2026-06-30,177,91-180,177,,3,3,0.075758,1075135.36,328869.56,0.305887,0,0,0.644221,,,,false,false
006000000000025AAA,2026-06-30,146,91-180,146,,3,3,0.056425,874694.86,254627.3,0.291104,0,0,0.388123,,,,false,false
006000000000026AAA,2026-06-30,156,91-180,156,,3,3,0.086172,1092449.76,367957.24,0.336818,0,0,0,,,,false,false
006000000000027AAA,2026-06-30,164,91-180,164,,3,3,0.061748,1077838.81,337786.59,0.313392,0,0,0.650722,,,,false,false
006000000000028AAA,2026-06-30,151,91-180,151,,3,3,0.092155,1096437.36,343193.1,0.313007,0,0,0.665708,,,,false,false
006000000000029AAA,2026-06-30,154,91-180,154,,3,3,0.078333,1064306.8,348936.13,0.327853,0,0,0.249768,,,,false,false
006000000000030AAA,2026-06-30,171,91-180,171,,3,3,0.065459,1087127.07,361500.32,0.332528,0,0,1,,,,false,false
006000000000031AAA,2026-06-30,118,91-180,118,,4,4,0.071453,1465252.59,423485.8,0.289019,0,0,0.68006,,,,false,false
006000000000032AAA,2026-06-30,141,91-180,141,,4,4,0.05886,1379152.84,511648.63,0.370988,0,0,1,,,,false,false
006000000000033AAA,2026-06-30,108,91-180,108,,4,4,0.08111,1488383.48,443376.76,0.297891,0,0,0.225753,,,,false,false
006000000000034AAA,2026-06-30,134,91-180,134,,4,4,0.071903,1354678.57,426525.66,0.314854,0,0,1,,,,false,false
006000000000035AAA,2026-06-30,133,91-180,133,,4,4,0.062914,1655300.31,487287.11,0.29438,0,0,0.224585,,,,false,false
006000000000036AAA,2026-06-30,325,181-365,,1187612.78,4,4,0.077692,1484515.97,406052.51,0.273525,0,0,1,72,32,89,false,false
006000000000037AAA,2026-06-30,120,91-180,120,,4,4,0.066859,1539243.07,517306.53,0.336079,0,0,1,,,,false,false
006000000000038AAA,2026-06-30,375,365+,,821868.29,4,4,0.079356,1369780.49,417490.91,0.304787,0,0,1,65,38,68,false,false
006000000000039AAA,2026-06-30,115,91-180,115,,4,4,0.088187,1429034.82,444402.44,0.310981,0,0,1,,,,false,false
006000000000040AAA,2026-06-30,141,91-180,141,,4,4,0.060244,1349954.05,399956.02,0.296274,0,0,1,,,,false,false
006000000000041AAA,2026-06-30,141,91-180,141,,4,4,0.068609,1690499.33,507151.15,0.300001,0,0,1,,,,false,false
006000000000042AAA,2026-06-30,124,91-180,124,,4,4,0.061619,1432683.59,430773.89,0.300676,0,0,1,,,,false,false
006000000000043AAA,2026-06-30,137,91-180,137,,4,4,0.071811,1403244.86,455857.76,0.32486,0,0,0.345249,,,,false,false
006000000000044AAA,2026-06-30,119,91-180,119,,4,4,0.057676,1395702.28,456497.48,0.327074,0,0,0.719019,,,,false,false
006000000000045AAA,2026-06-30,127,91-180,127,,4,4,0.093308,1357772.38,441459.57,0.325135,0,0,1,,,,false,false
006000000000046AAA,2026-06-30,17,0-30,,992634.28,5,5,0.066935,1654390.47,544380.43,0.329052,0,0,1,81,8,68,false,false
006000000000047AAA,2026-06-30,96,91-180,,1466835.57,5,5,0.081584,1833544.46,623350.76,0.33997,0,0,1,85,13,89,false,false
006000000000048AAA,2026-06-30,52,31-60,,998693,5,5,0.08741,1664488.34,482960.71,0.290156,0,0,0.851095,77,13,68,false,false
006000000000049AAA,2026-06-30,86,61-90,86,,5,5,0.067227,2072707.53,697692.82,0.336609,0,0,1,,,,false,false
006000000000050AAA,2026-06-30,92,91-180,,1357908.32,5,5,0.067599,2263180.53,685297.62,0.302803,0,0,1,76,14,68,false,false
006000000000051AAA,2026-06-30,86,61-90,86,,5,5,0.07352,2104796.61,656528.62,0.31192,0,0,1,,,,false,false
006000000000052AAA,2026-06-30,30,0-30,,1128299.03,5,5,0.061354,1880498.39,669880.56,0.356225,0,0,1,82,9,68,false,false
006000000000053AAA,2026-06-30,103,91-180,103,,5,5,0.077995,1703353.41,551950.31,0.324037,0,0,1,,,,false,false
006000000000054AAA,2026-06-30,115,91-180,,1611641.54,5,5,0.062127,2014551.93,674371,0.33475,0,0,0.746429,84,13,89,false,false
006000000000055AAA,2026-06-30,86,61-90,86,,5,5,0.055101,1427488.26,424799,0.297585,0,0,1,,,,false,false
006000000000056AAA,2026-06-30,94,91-180,94,,5,5,0.064052,1990519.47,626100.62,0.314541,0,0,1,,,,false,false
006000000000057AAA,2026-06-30,149,91-180,,322897.18,5,5,0.084961,1614485.89,501080.63,0.310365,0,0,1,60,27,36,false,false
006000000000058AAA,2026-06-30,39,31-60,,1053054.86,5,5,0.077559,1755091.43,581204.79,0.331154,0,0,0.849069,80,11,68,false,false
006000000000059AAA,2026-06-30,91,91-180,91,,5,5,0.074775,2060496.05,664039.66,0.322272,0,0,0.608822,,,,false,false
006000000000060AAA,2026-06-30,149,91-180,,1135685.59,5,5,0.063199,1892809.31,622999.78,0.32914,0,0,1,75,19,68,false,false
006000000000061AAA,2026-06-30,203,181-365,203,,2,2,0.18568,831081.03,173924.14,0.209275,0,0,0,,,,false,false
006000000000062AAA,2026-06-30,221,181-365,221,,3,2,0.180029,1227790.91,248495.27,0.202392,0,0,1,,,,false,false
006000000000063AAA,2026-06-30,131,91-180,,426444.12,3,2,0.183143,1066110.31,185880.81,0.174354,0,0,1,54,38,47,false,false
006000000000064AAA,2026-06-30,208,181-365,,880656.92,3,2,0.18487,1467761.54,267383.7,0.182171,0,0,0.398962,58,41,68,false,false
006000000000065AAA,2026-06-30,80,61-90,,538944.64,2,2,0.204188,898241.06,202984.77,0.22598,0,0,1,66,30,68,false,false
006000000000066AAA,2026-06-30,20,0-30,,178444.64,3,2,0.192468,892223.18,123485.87,0.138402,0,0,1,49,35,36,false,false
006000000000067AAA,2026-06-30,108,91-180,,205648.42,2,1,0.210813,1028242.12,127381.68,0.123883,0,0,1,42,45,36,false,true
006000000000068AAA,2026-06-30,246,181-365,246,,2,2,0.167505,1031558.36,249249.9,0.241625,0,0,0.397873,,,,false,false
006000000000069AAA,2026-06-30,52,31-60,,166279.18,2,1,0.188132,831395.9,148717.65,0.178877,0,0,1,48,35,36,false,true
006000000000070AAA,2026-06-30,194,181-365,194,,3,2,0.179496,1096237.76,189489.44,0.172854,0,0,1,,,,false,false
006000000000071AAA,2026-06-30,221,181-365,221,,3,2,0.212125,1241226.86,220757.69,0.177854,0,0,1,,,,false,false
006000000000072AAA,2026-06-30,268,181-365,268,,2,2,0.209013,1533213.7,336442.1,0.219436,0,0,0.532238,,,,false,false
006000000000073AAA,2026-06-30,200,181-365,200,,2,2,0.180758,1006277.95,254960.92,0.25337,0,0,0.462716,,,,false,false
006000000000074AAA,2026-06-30,162,91-180,,934381.48,2,2,0.193694,1167976.85,272161.93,0.23302,0,0,1,70,32,89,false,false
006000000000075AAA,2026-06-30,202,181-365,202,,2,2,0.176374,1189474.41,252967.66,0.212672,0,0,0.563367,,,,false,false
006000000000076AAA,2026-06-30,222,181-365,222,,2,2,0.223506,899143.54,122349.28,0.136073,0,0,0.412554,,,,false,false
006000000000077AAA,2026-06-30,16,0-30,,837913.44,3,2,0.186194,1396522.4,211087.34,0.151152,0,0,1,64,28,68,false,false
006000000000078AAA,2026-06-30,239,181-365,239,,3,3,0.214524,1458894.37,281334.5,0.192841,0,0,0.713333,,,,false,false
006000000000079AAA,2026-06-30,205,181-365,205,,3,3,0.196314,1267374.15,162746.25,0.128412,0,0,0.290503,,,,false,false
006000000000080AAA,2026-06-30,106,91-180,,331161.43,2,2,0.195513,827903.57,127778.82,0.15434,0,0,1,53,39,47,false,false
006000000000081AAA,2026-06-30,195,181-365,195,,2,2,0.193293,796801.77,147045.06,0.184544,0,0,0.367663,,,,false,false
006000000000082AAA,2026-06-30,229,181-365,,713815.67,2,1,0.181225,892269.59,215721.62,0.241767,0,0,0,66,36,89,false,true
006000000000083AAA,2026-06-30,255,181-365,255,,3,2,0.209579,1314407.84,284473.4,0.216427,0,0,0.673031,,,,false,false
006000000000084AAA,2026-06-30,823,365+,,798102.48,2,1,0.170176,1330170.8,337156.4,0.253469,0,0,0,49,48,68,false,true
006000000000085AAA,2026-06-30,85,61-90,,556630.21,3,3,0.197343,927717.02,188163.05,0.202824,0,0,0.356513,67,31,68,false,false
006000000000086AAA,2026-06-30,255,181-365,255,,3,3,0.199626,1008743.58,199058.79,0.197333,0,0,0.652342,,,,false,false
006000000000087AAA,2026-06-30,251,181-365,,442466.49,3,3,0.19635,1106166.22,133886.31,0.121036,0,0,0.376332,48,53,47,false,false
006000000000088AAA,2026-06-30,221,181-365,221,,3,2,0.201909,1256233.97,229343.85,0.182565,0,0,0.333683,,,,false,false
006000000000089AAA,2026-06-30,32,31-60,,222441.23,2,2,0.163088,1112206.16,269757.58,0.242543,0,0,1,55,27,36,false,false
006000000000090AAA,2026-06-30,200,181-365,200,,3,2,0.184232,750425.79,134152.52,0.178769,0,0,0.356454,,,,false,false
006000000000091AAA,2026-06-30,86,61-90,,283700.59,3,3,0.196188,1418502.96,290911.04,0.205083,0,0,0.667362,53,37,36,false,false
006000000000092AAA,2026-06-30,231,181-365,231,,2,2,0.246283,1330039.62,183398.67,0.13789,0,0,0.395736,,,,false,false
006000000000093AAA,2026-06-30,202,181-365,,582584.59,3,3,0.193278,970974.31,224954.04,0.231679,0,0,0.648062,64,38,68,false,false
006000000000094AAA,2026-06-30,202,181-365,202,,2,2,0.177173,950816.65,254781.36,0.267961,0,0,1,,,,false,false
006000000000095AAA,2026-06-30,147,91-180,,659297.16,2,2,0.173541,1098828.6,235324.63,0.21416,0,0,0.638826,63,33,68,false,false
006000000000096AAA,2026-06-30,251,181-365,251,,3,2,0.189765,1342094.75,291214.36,0.216985,0,0,0.57873,,,,false,false
006000000000097AAA,2026-06-30,580,365+,,444388.88,2,2,0.188218,1110972.2,239177.19,0.215286,0,0,0.477477,42,55,47,false,false
006000000000098AAA,2026-06-30,16,0-30,,154228.48,2,1,0.185591,1542284.84,329818.94,0.213851,0,0,0.367919,48,31,31,false,true
006000000000099AAA,2026-06-30,133,91-180,,442289.22,2,2,0.189408,1105723.06,239293.38,0.216413,0,0,1,56,36,47,false,false
006000000000100AAA,2026-06-30,215,181-365,215,,2,1,0.199467,1127933.54,251672.79,0.223127,0,0,1,,,,false,false
006000000000101AAA,2026-06-30,217,181-365,217,,3,3,0.214332,1540341.56,218107.12,0.141597,0,0,0.382739,,,,false,false
006000000000102AAA,2026-06-30,123,91-180,,851370.53,3,3,0.20367,1418950.88,280033.45,0.197352,0,0,1,65,35,68,false,false
006000000000103AAA,2026-06-30,187,181-365,187,,2,2,0.197318,862575.96,205687.24,0.238457,0,0,0.5376,,,,false,false
006000000000104AAA,2026-06-30,198,181-365,198,,3,2,0.210657,1388056.42,195145.39,0.140589,0,0,0,,,,false,false
006000000000105AAA,2026-06-30,438,365+,,611177.49,2,2,0.184739,763971.86,160952.88,0.210679,0,0,0.541636,58,49,89,false,false
006000000000106AAA,2026-06-30,259,181-365,259,,3,2,0.182615,1339284.72,324015.55,0.241932,0,0,0.378665,,,,false,false
006000000000107AAA,2026-06-30,44,31-60,,89039.72,2,2,0.189336,890397.23,166403.22,0.186886,0,0,1,48,35,31,false,false
006000000000108AAA,2026-06-30,192,181-365,192,,3,2,0.207518,1271009.6,217935.12,0.171466,0,0,0.601798,,,,false,false
006000000000109AAA,2026-06-30,210,181-365,210,,2,2,0.184531,1487463.07,227058.9,0.152648,0,0,0.385233,,,,false,false
006000000000110AAA,2026-06-30,241,181-365,241,,2,2,0.208865,1545207.87,259618.32,0.168015,0,0,0.571242,,,,false,false
006000000000111AAA,2026-06-30,244,181-365,244,,2,2,0.188497,905166.64,217490.91,0.240277,0,0,0.358637,,,,false,false
006000000000112AAA,2026-06-30,254,181-365,254,,2,2,0.196202,833562.36,142371.6,0.170799,0,0,0,,,,false,false
006000000000113AAA,2026-06-30,260,181-365,260,,3,3,0.23258,899349.34,111963.95,0.124494,0,0,0.670812,,,,false,false
006000000000114AAA,2026-06-30,645,365+,,521260.26,3,2,0.22027,1303150.66,171612.76,0.131691,0,0,0.752119,36,64,47,true,false
006000000000115AAA,2026-06-30,303,181-365,,857921.88,3,3,0.189764,1072402.35,192243.14,0.179264,0,0,0.749986,64,47,89,false,false
006000000000116AAA,2026-06-30,335,181-365,,1946542.84,4,3,0.090613,2433178.55,731299.2,0.300553,242,0,1,55,58,49,false,false
006000000000117AAA,2026-06-30,295,181-365,,1549239.02,3,3,0.07997,2582065.04,917477.68,0.355327,0,0,0.74017,69,32,68,false,false
006000000000118AAA,2026-06-30,232,181-365,,4049362.49,3,3,0.057594,5061703.11,1545967.63,0.305424,0,0,1,75,22,89,false,false
006000000000119AAA,2026-06-30,274,181-365,,3044193,3,3,0.063559,3805241.25,1212387.74,0.31861,227,0,1,59,51,49,false,false
006000000000120AAA,2026-06-30,34,31-60,,1789981.84,4,2,0.093613,2983303.06,839615.81,0.281438,107,1,1,63,27,57,false,false
006000000000121AAA,2026-06-30,391,365+,,947890.95,3,2,0.095479,2369727.38,779842.34,0.329085,76,2,1,47,53,39,false,false
006000000000122AAA,2026-06-30,74,61-90,,1135422.77,4,3,0.106445,2838556.92,815369.05,0.287248,0,0,1,66,19,47,false,false
006000000000123AAA,2026-06-30,228,181-365,,1482133.22,4,2,0.072648,2470222.03,779299.08,0.315477,0,0,0.239097,66,26,68,false,false
006000000000124AAA,2026-06-30,45,31-60,,2726652.1,3,2,0.05227,4544420.16,1367759.89,0.300976,106,1,0.697193,64,24,57,false,false
006000000000125AAA,2026-06-30,334,181-365,,1136553.09,4,3,0.065888,2841382.72,995292.13,0.350284,0,0,0.483225,60,37,47,false,false
006000000000126AAA,2026-06-30,77,61-90,,2867149.51,4,2,0.084242,4778582.52,1491745.4,0.312173,118,0,1,62,31,56,false,false
006000000000127AAA,2026-06-30,133,91-180,,2481223.97,4,2,0.081338,4135373.28,1393615.77,0.336999,208,0,0.754554,56,44,38,false,false
006000000000128AAA,2026-06-30,290,181-365,,3125217.27,3,3,0.108527,3906521.59,954775.95,0.244406,0,0,1,69,34,89,false,false
006000000000129AAA,2026-06-30,166,91-180,,1898544.64,4,4,0.067619,4746361.6,1545427.74,0.325603,91,1,1,60,36,38,false,false
006000000000130AAA,2026-06-30,148,91-180,,1418561.04,4,4,0.08476,2364268.4,782757.63,0.331078,0,0,0.566493,75,21,68,false,false
006000000000131AAA,2026-06-30,217,181-365,,1998091.23,3,3,0.068652,4995228.07,1522850.38,0.304861,0,0,0.301369,61,28,47,false,false
006000000000132AAA,2026-06-30,90,61-90,,1713021.04,3,3,0.10085,4282552.6,1243418.36,0.290345,89,3,0.417908,58,33,38,false,false
006000000000133AAA,2026-06-30,385,365+,,881589.7,4,4,0.074996,2203974.25,672074.47,0.304938,94,3,1,49,53,38,false,false
006000000000134AAA,2026-06-30,414,365+,,2989833.09,4,4,0.089232,4983055.15,1392357.66,0.279418,110,3,0.450194,52,54,57,false,false
006000000000135AAA,2026-06-30,190,181-365,,1515535.43,3,3,0.073979,2525892.39,714638.43,0.282925,46,2,1,64,29,63,false,false
006000000000136AAA,2026-06-30,291,181-365,,2836656.14,4,2,0.072031,3545820.18,1207592.78,0.340568,147,1,0.453044,60,48,64,false,false
006000000000137AAA,2026-06-30,132,91-180,,2693016.55,4,3,0.083635,4488360.92,1426861.78,0.317903,0,0,1,73,19,68,false,false
006000000000138AAA,2026-06-30,391,365+,,1545057.22,3,3,0.057314,2575095.37,856816.16,0.332732,97,0,1,55,49,58,false,false
006000000000139AAA,2026-06-30,318,181-365,,1613674.03,4,4,0.095419,2689456.71,733353.52,0.272677,0,0,0.74545,65,36,68,false,false
006000000000140AAA,2026-06-30,108,91-180,,2631789.11,4,3,0.0858,4386315.18,1238646.68,0.282389,57,0,0.787921,67,25,62,false,false
006000000000141AAA,2026-06-30,340,181-365,,2730770.21,3,3,0.08923,4551283.68,1469507.67,0.322878,0,0,1,65,37,68,false,false
006000000000142AAA,2026-06-30,222,181-365,,1881840.85,3,3,0.098265,4704602.12,1007872.96,0.214231,0,0,0.302486,55,35,47,false,false
006000000000143AAA,2026-06-30,236,181-365,,2746526.84,3,2,0.091693,4577544.73,1650033.2,0.360462,0,0,0.73954,69,28,68,false,false
006000000000144AAA,2026-06-30,286,181-365,,1603467.98,4,3,0.100019,4008669.95,1355229.99,0.338075,95,2,1,53,50,38,false,false
006000000000145AAA,2026-06-30,309,181-365,,2699554.79,3,2,0.08022,4499257.98,1342742.19,0.298436,248,0,0.774974,47,58,38,false,false
006000000000146AAA,2026-06-30,121,91-180,,1404635.7,4,3,0.098395,3511589.26,1031978.21,0.293878,116,2,0.26629,55,39,35,false,false
006000000000147AAA,2026-06-30,139,91-180,,1972540.34,3,3,0.069707,3287567.24,923550.99,0.280922,0,0,0.330195,70,18,68,false,false
006000000000148AAA,2026-06-30,399,365+,,1817402.88,3,3,0.079774,3029004.8,968764.35,0.319829,52,1,1,58,45,63,false,false
006000000000149AAA,2026-06-30,130,91-180,,2910675.65,3,2,0.098795,4851126.09,1499312.51,0.309065,142,2,1,58,40,54,false,false
006000000000150AAA,2026-06-30,209,181-365,,1842150.93,4,3,0.078504,2302688.66,774899.04,0.336519,0,0,1,78,22,89,false,false
006000000000151AAA,2026-06-30,61,61-90,,1813905.83,4,4,0.076489,4534764.58,1433954.83,0.316214,114,2,0.338088,61,31,36,false,false
006000000000152AAA,2026-06-30,55,31-60,,3549547.52,3,2,0.062742,4436934.4,1326415.5,0.298949,0,0,1,79,8,89,false,false
006000000000153AAA,2026-06-30,152,91-180,,1655777.04,3,2,0.094954,2759628.4,773637.24,0.280341,85,3,1,60,34,60,false,false
006000000000154AAA,2026-06-30,313,181-365,,2217255.38,3,3,0.100108,2771569.22,826804.83,0.298317,163,0,1,58,55,63,false,false
006000000000155AAA,2026-06-30,334,181-365,,3509436.25,4,2,0.092162,4386795.31,1429376.05,0.325836,89,0,1,62,46,80,false,false
006000000000156AAA,2026-06-30,218,181-365,,2798990.64,3,3,0.055122,3498738.3,988891.1,0.282642,150,1,1,61,42,64,false,false
006000000000157AAA,2026-06-30,137,91-180,,1763689.51,4,4,0.091022,2204611.89,600692.52,0.272471,84,2,0.467185,72,29,81,false,false
006000000000158AAA,2026-06-30,355,181-365,,1657011.85,4,4,0.073242,2761686.42,828517.09,0.300004,54,3,0.765301,61,44,63,false,false
006000000000159AAA,2026-06-30,61,61-90,,2253864.86,3,3,0.061213,2817331.07,935023.9,0.331883,59,3,0.308358,79,16,83,false,false
006000000000160AAA,2026-06-30,121,91-180,,1345399.83,4,3,0.096447,2242333.05,642145.28,0.286374,103,0,1,63,34,58,false,false
006000000000161AAA,2026-06-30,247,181-365,,2133479.62,3,3,0.086527,2666849.52,925402.02,0.347002,0,0,1,77,26,89,false,false
006000000000162AAA,2026-06-30,381,365+,,1886266.34,4,4,0.100325,2357832.92,688941.3,0.292193,176,1,1,56,61,61,true,false
006000000000163AAA,2026-06-30,43,31-60,,2346526.64,3,3,0.079898,2933158.3,988078.54,0.336865,150,0,1,72,29,64,false,false
006000000000164AAA,2026-06-30,315,181-365,,2847891.25,3,3,0.094616,4746485.42,1483700.78,0.312589,217,0,0.627501,50,60,38,true,false
006000000000165AAA,2026-06-30,183,181-365,,1375152.19,4,4,0.113964,3437880.47,979993.33,0.285057,121,3,1,54,46,35,false,false
006000000000166AAA,2026-06-30,223,181-365,,1756063.32,4,3,0.08386,2926772.2,857057.42,0.292834,119,3,1,58,43,56,false,false
006000000000167AAA,2026-06-30,232,181-365,,3820498.18,3,3,0.088389,4775622.73,1505301.74,0.315205,0,0,0.646593,76,25,89,false,false
006000000000168AAA,2026-06-30,414,365+,,1554522.07,3,3,0.074739,3886305.17,1308379.53,0.336664,0,0,1,56,40,47,false,false
006000000000169AAA,2026-06-30,222,181-365,,1984843.91,4,2,0.094191,3308073.19,952193.66,0.287839,97,0,1,57,41,58,false,false
006000000000170AAA,2026-06-30,166,91-180,,3049932.94,4,3,0.067566,3812416.18,1139161.22,0.298803,0,0,0.50578,77,17,89,false,false
006000000000171AAA,2026-06-30,250,181-365,,1235928.54,3,3,0.076539,3089821.36,795673.36,0.257514,150,1,0.338011,45,53,32,false,false
006000000000172AAA,2026-06-30,87,61-90,,1637639.19,4,2,0.08734,4094097.98,1236460.73,0.302011,0,0,1,64,19,47,false,false
006000000000173AAA,2026-06-30,106,91-180,,2837168.27,3,3,0.096928,4728613.78,1591628.37,0.336595,204,0,0.654041,60,43,38,false,false
006000000000174AAA,2026-06-30,404,365+,,2418617.82,4,3,0.082099,3023272.28,1000080.98,0.330794,74,2,0.452068,64,45,82,false,false
006000000000175AAA,2026-06-30,69,61-90,,2709412.56,4,2,0.075446,3386765.7,1197731.2,0.35365,79,2,1,76,21,81,false,false
006000000000176AAA,2026-06-30,164,91-180,164,,2,2,0.029112,256890.75,89815.08,0.349624,0,0,1,,,,false,false
006000000000177AAA,2026-06-30,183,181-365,183,,2,2,0.077916,289672.94,78471.44,0.270897,0,0,1,,,,false,false
006000000000178AAA,2026-06-30,192,181-365,192,,2,2,0.080363,277280.14,84996.36,0.306536,0,0,1,,,,false,false
006000000000179AAA,2026-06-30,422,365+,,139693.06,2,2,0.086612,349232.64,86980.83,0.249063,0,0,1,47,44,47,false,false
006000000000180AAA,2026-06-30,168,91-180,168,,2,2,0.056853,322596.69,96429.2,0.298916,0,0,1,,,,false,false
006000000000181AAA,2026-06-30,173,91-180,173,,2,2,0.081604,291303.04,65974.97,0.226482,0,0,0.526087,,,,false,false
006000000000182AAA,2026-06-30,179,91-180,179,,2,2,0.036395,260087.05,92796.67,0.356791,0,0,0.454754,,,,false,false
006000000000183AAA,2026-06-30,409,365+,,170272.99,2,2,0.064726,212841.24,65648.09,0.308437,0,0,0.597901,66,33,89,false,false
006000000000184AAA,2026-06-30,163,91-180,163,,2,2,0.064863,179895.76,49921.91,0.277505,0,0,1,,,,false,false
006000000000185AAA,2026-06-30,193,181-365,193,,2,2,0.102581,271768.28,91120.75,0.335288,0,0,1,,,,false,false
006000000000186AAA,2026-06-30,174,91-180,174,,2,2,0.064875,515446.96,138934.05,0.269541,0,0,1,,,,false,false
006000000000187AAA,2026-06-30,176,91-180,176,,2,2,0.086411,457717.08,156810.39,0.342592,0,0,1,,,,false,false
006000000000188AAA,2026-06-30,148,91-180,148,,2,2,0.05155,517301.84,186553.82,0.360629,0,0,1,,,,false,false
006000000000189AAA,2026-06-30,171,91-180,171,,2,2,0.048127,417709.74,153886.26,0.368405,0,0,1,,,,false,false
006000000000190AAA,2026-06-30,160,91-180,160,,2,2,0.068659,467450.88,155717.76,0.333121,0,0,1,,,,false,false
006000000000191AAA,2026-06-30,292,181-365,,154398.27,2,2,0.091701,385995.68,114009,0.295363,0,0,1,55,36,47,false,false
006000000000192AAA,2026-06-30,170,91-180,170,,2,2,0.090323,465109.63,145303.66,0.312407,0,0,1,,,,false,false
006000000000193AAA,2026-06-30,173,91-180,173,,2,2,0.073983,471334.85,124001.99,0.263087,0,0,0,,,,false,false
006000000000194AAA,2026-06-30,175,91-180,175,,2,2,0.053614,516600.75,198503.85,0.38425,0,0,1,,,,false,false
006000000000195AAA,2026-06-30,167,91-180,167,,2,2,0.041629,344302.69,99829.63,0.289947,0,0,1,,,,false,false
006000000000196AAA,2026-06-30,230,181-365,,556738.68,3,3,0.068064,695923.35,262860.98,0.377715,0,0,0.548538,80,23,89,false,false
006000000000197AAA,2026-06-30,160,91-180,160,,3,3,0.068705,594257.53,182451.07,0.307024,0,0,0.42223,,,,false,false
006000000000198AAA,2026-06-30,142,91-180,142,,3,3,0.086087,618321.52,188594.9,0.305011,0,0,0.356232,,,,false,false
006000000000199AAA,2026-06-30,148,91-180,148,,3,3,0.076235,742663.9,235884.91,0.31762,0,0,0.354346,,,,false,false
006000000000200AAA,2026-06-30,148,91-180,148,,3,3,0.081898,616841.83,208441.95,0.337918,0,0,1,,,,false,false
006000000000201AAA,2026-06-30,127,91-180,127,,3,3,0.096461,633562.51,196226.41,0.309719,0,0,0.401071,,,,false,false
