OpportunityLineItemId,OpportunityId,ProductId,Quantity,ListUnitPrice,DiscountRate,NetUnitPrice,ListRevenue,NetRevenue,UnitCost,ExtendedCost,GrossMarginAmount,GrossMarginRate,ProductSubstitutionFlag,CurrencyIsoCode
00k000000000029AAA,006000000000015AAA,01t000000000048AAA,614,420.25,0.0852,384.44,258033.5,236046.16,264.11,162163.54,73882.62,0.313001,false,USD
00k000000000030AAA,006000000000015AAA,01t000000000038AAA,1769,213.01,0.0296,206.7,376814.69,365652.3,127.14,224910.66,140741.64,0.384906,false,USD
00k000000000031AAA,006000000000016AAA,01t000000000048AAA,1010,395.05,0.0602,371.27,399000.5,374982.7,264.11,266751.1,108231.6,0.288631,false,USD
00k000000000032AAA,006000000000016AAA,01t000000000010AAA,916,451.79,0.1014,405.98,413839.64,371877.68,280.72,257139.52,114738.16,0.308537,false,USD
00k000000000033AAA,006000000000016AAA,01t000000000019AAA,941,353.41,0.0649,330.47,332558.81,310972.27,228.88,215376.08,95596.19,0.307411,false,USD
00k000000000034AAA,006000000000017AAA,01t000000000058AAA,1082,238.53,0.0845,218.37,258089.46,236276.34,167.27,180986.14,55290.2,0.234007,false,USD
00k000000000035AAA,006000000000017AAA,01t000000000008AAA,1161,265.46,0.0216,259.73,308199.06,301546.53,179.17,208016.37,93530.16,0.310168,false,USD
00k000000000036AAA,006000000000017AAA,01t000000000022AAA,732,360.51,0.0641,337.4,263893.32,246976.8,241.05,176448.6,70528.2,0.285566,false,USD
00k000000000037AAA,006000000000018AAA,01t000000000052AAA,4334,111.65,0.0856,102.09,483891.1,442458.06,62.85,272391.9,170066.16,0.384367,false,USD
00k000000000038AAA,006000000000018AAA,01t000000000007AAA,1677,192.85,0.0829,176.86,323409.45,296594.22,120.99,202900.23,93693.99,0.3159,false,USD
00k000000000039AAA,006000000000018AAA,01t000000000018AAA,2402,150.9,0.0664,140.88,362461.8,338393.76,92.07,221152.14,117241.62,0.346465,false,USD
00k000000000040AAA,006000000000019AAA,01t000000000038AAA,1385,218.92,0.0686,203.9,303204.2,282401.5,127.14,176088.9,106312.6,0.376459,false,USD
00k000000000041AAA,006000000000019AAA,01t000000000004AAA,985,386.29,0.0738,357.78,380495.65,352413.3,267.02,263014.7,89398.6,0.253675,false,USD
00k000000000042AAA,006000000000019AAA,01t000000000058AAA,1703,241.62,0.0612,226.83,411478.86,386291.49,167.27,284860.81,101430.68,0.262575,false,USD
00k000000000043AAA,006000000000020AAA,01t000000000022AAA,782,373.61,0.0462,356.35,292163.02,278665.7,241.05,188501.1,90164.6,0.323558,false,USD
00k000000000044AAA,006000000000020AAA,01t000000000047AAA,1115,319.23,0.0607,299.85,355941.45,334332.75,213.19,237706.85,96625.9,0.289011,false,USD
00k000000000045AAA,006000000000020AAA,01t000000000059AAA,1681,215.99,0.0719,200.46,363079.19,336973.26,136.27,229069.87,107903.39,0.320214,false,USD
00k000000000046AAA,006000000000021AAA,01t000000000053AAA,1292,235.75,0.0488,224.25,304589,289731,158.05,204200.6,85530.4,0.295206,false,USD
00k000000000047AAA,006000000000021AAA,01t000000000033AAA,1105,404.02,0.0637,378.28,446442.1,417999.4,280.14,309554.7,108444.7,0.259437,false,USD
00k000000000048AAA,006000000000021AAA,01t000000000010AAA,853,440.13,0.0732,407.91,375430.89,347947.23,280.72,239454.16,108493.07,0.311809,false,USD
00k000000000049AAA,006000000000022AAA,01t000000000053AAA,1520,240.89,0.0503,228.77,366152.8,347730.4,158.05,240236,107494.4,0.309131,false,USD
00k000000000050AAA,006000000000022AAA,01t000000000050AAA,4274,82.28,0.0466,78.45,351664.72,335295.3,51.06,218230.44,117064.86,0.34914,false,USD
00k000000000051AAA,006000000000022AAA,01t000000000017AAA,1774,189.94,0.0547,179.55,336953.56,318521.7,126.45,224322.3,94199.4,0.295739,false,USD
00k000000000052AAA,006000000000023AAA,01t000000000059AAA,1930,216.95,0.0743,200.83,418713.5,387601.9,136.27,263001.1,124600.8,0.321466,false,USD
00k000000000053AAA,006000000000023AAA,01t000000000042AAA,1271,273.77,0.0691,254.85,347961.67,323914.35,174.39,221649.69,102264.66,0.315715,false,USD
00k000000000054AAA,006000000000023AAA,01t000000000019AAA,1236,355.47,0.1109,316.05,439360.92,390637.8,228.88,282895.68,107742.12,0.275811,false,USD
00k000000000055AAA,006000000000024AAA,01t000000000001AAA,1252,317.03,0.0363,305.52,396921.56,382511.04,209.3,262043.6,120467.44,0.314938,false,USD
00k000000000056AAA,006000000000024AAA,01t000000000018AAA,2396,151.66,0.0842,138.89,363377.36,332780.44,92.07,220599.72,112180.72,0.337101,false,USD
00k000000000057AAA,006000000000024AAA,01t000000000056AAA,2013,200.18,0.107,178.76,402962.34,359843.88,130.96,263622.48,96221.4,0.267398,false,USD
00k000000000058AAA,006000000000025AAA,01t000000000050AAA,4570,78.46,0.0441,75,358562.2,342750,51.06,233344.2,109405.8,0.3192,false,USD
00k000000000059AAA,006000000000025AAA,01t000000000036AAA,1541,134.46,0.0712,124.89,207202.86,192455.49,95.18,146672.38,45783.11,0.237889,false,USD
00k000000000060AAA,006000000000025AAA,01t000000000004AAA,899,401.82,0.0602,377.63,361236.18,339489.37,267.02,240050.98,99438.39,0.292906,false,USD
00k000000000061AAA,006000000000026AAA,01t000000000005AAA,756,379.11,0.0703,352.46,286607.16,266459.76,272.07,205684.92,60774.84,0.228083,false,USD
00k000000000062AAA,006000000000026AAA,01t000000000016AAA,1340,364.1,0.0663,339.96,487894,455546.4,212.59,284870.6,170675.8,0.374662,false,USD
00k000000000063AAA,006000000000026AAA,01t000000000041AAA,1530,275.14,0.12,242.12,420964.2,370443.6,152.9,233937,136506.6,0.368495,false,USD
00k000000000064AAA,006000000000027AAA,01t000000000054AAA,2835,131.09,0.0758,121.15,371640.15,343460.25,80.43,228019.05,115441.2,0.336112,false,USD
00k000000000065AAA,006000000000027AAA,01t000000000050AAA,5150,76.01,0.0383,73.1,391451.5,376465,51.06,262959,113506,0.301505,false,USD
00k000000000066AAA,006000000000027AAA,01t000000000037AAA,1019,378.49,0.072,351.24,385681.31,357913.56,244.43,249074.17,108839.39,0.304094,false,USD
00k000000000067AAA,006000000000028AAA,01t000000000060AAA,1870,258.38,0.1039,231.53,483170.6,432961.1,164.46,307540.2,125420.9,0.289682,false,USD
00k000000000068AAA,006000000000028AAA,01t000000000007AAA,2048,197.95,0.0959,178.97,405401.6,366530.56,120.99,247787.52,118743.04,0.323965,false,USD
00k000000000069AAA,006000000000028AAA,01t000000000031AAA,834,382.69,0.0696,356.05,319163.46,296945.7,237.31,197916.54,99029.16,0.333492,false,USD
00k000000000070AAA,006000000000029AAA,01t000000000003AAA,1443,200.15,0.0796,184.22,288816.45,265829.46,125.5,181096.5,84732.96,0.318749,false,USD
00k000000000071AAA,006000000000029AAA,01t000000000027AAA,1120,417.13,0.0973,376.54,467185.6,421724.8,251.82,282038.4,139686.4,0.331226,false,USD
00k000000000072AAA,006000000000029AAA,01t000000000059AAA,1851,215.43,0.0552,203.54,398760.93,376752.54,136.27,252235.77,124516.77,0.3305,false,USD
00k000000000073AAA,006000000000030AAA,01t000000000004AAA,1002,400.25,0.0747,370.35,401050.5,371090.7,267.02,267554.04,103536.66,0.279006,false,USD
00k000000000074AAA,006000000000030AAA,01t000000000037AAA,1103,388.85,0.0731,360.43,428901.55,397554.29,244.43,269606.29,127948,0.321838,false,USD
00k000000000075AAA,006000000000030AAA,01t000000000043AAA,1462,227.99,0.0445,217.84,333321.38,318482.08,128.91,188466.42,130015.66,0.408235,false,USD
00k000000000076AAA,006000000000031AAA,01t000000000057AAA,1847,133.54,0.0407,128.1,246648.38,236600.7,72.85,134553.95,102046.75,0.431304,false,USD
00k000000000077AAA,006000000000031AAA,01t000000000029AAA,1674,224.84,0.0514,213.28,376382.16,357030.72,153.08,256255.92,100774.8,0.282258,false,USD
00k000000000078AAA,006000000000031AAA,01t000000000021AAA,1353,314.79,0.0542,297.73,425910.87,402828.69,239.32,323799.96,79028.73,0.196184,false,USD
00k000000000079AAA,006000000000031AAA,01t000000000007AAA,2704,195.66,0.1139,173.37,529064.64,468792.48,120.99,327156.96,141635.52,0.302128,false,USD
00k000000000080AAA,006000000000032AAA,01t000000000015AAA,829,296.86,0.0756,274.42,246096.94,227494.18,168.05,139313.45,88180.73,0.387618,false,USD
00k000000000081AAA,006000000000032AAA,01t000000000043AAA,1913,226.99,0.039,218.14,434231.87,417301.82,128.91,246604.83,170696.99,0.409049,false,USD
00k000000000082AAA,006000000000032AAA,01t000000000028AAA,1639,200.91,0.053,190.26,329291.49,311836.14,110.67,181388.13,130448.01,0.418322,false,USD
00k000000000083AAA,006000000000032AAA,01t000000000061AAA,2170,210.04,0.073,194.71,455786.8,422520.7,138.34,300197.8,122322.9,0.289507,false,USD
00k000000000084AAA,006000000000033AAA,01t000000000019AAA,1065,345.72,0.0874,315.5,368191.8,336007.5,228.88,243757.2,92250.3,0.274548,false,USD
00k000000000085AAA,006000000000033AAA,01t000000000006AAA,875,475,0.0677,442.84,415625,387485,301.3,263637.5,123847.5,0.319619,false,USD
00k000000000086AAA,006000000000033AAA,01t000000000041AAA,1517,273.39,0.0852,250.1,414732.63,379401.7,152.9,231949.3,147452.4,0.388645,false,USD
00k000000000087AAA,006000000000033AAA,01t000000000051AAA,5984,70.39,0.0848,64.42,421213.76,385489.28,51.08,305662.72,79826.56,0.207079,false,USD
00k000000000088AAA,006000000000034AAA,01t000000000035AAA,1035,394.29,0.0774,363.77,408090.15,376501.95,237.75,246071.25,130430.7,0.346428,false,USD
00k000000000089AAA,006000000000034AAA,01t000000000014AAA,2101,119.64,0.0681,111.49,251363.64,234240.49,81.05,170286.05,63954.44,0.273029,false,USD
00k000000000090AAA,006000000000034AAA,01t000000000004AAA,1081,398.73,0.0684,371.46,431027.13,401548.26,267.02,288648.62,112899.64,0.281161,false,USD
00k000000000091AAA,006000000000034AAA,01t000000000069AAA,1023,360.85,0.0725,334.69,369149.55,342387.87,218.13,223146.99,119240.88,0.348263,false,USD
00k000000000092AAA,006000000000035AAA,01t000000000036AAA,2748,142.69,0.046,136.13,392112.12,374085.24,95.18,261554.64,112530.6,0.300815,false,USD
00k000000000093AAA,006000000000035AAA,01t000000000006AAA,1247,468.4,0.0647,438.09,584094.8,546298.23,301.3,375721.1,170577.13,0.312242,false,USD
00k000000000094AAA,006000000000035AAA,01t000000000050AAA,4859,80.63,0.0731,74.74,391781.17,363161.66,51.06,248100.54,115061.12,0.316832,false,USD
00k000000000095AAA,006000000000035AAA,01t000000000021AAA,1181,337.38,0.067,314.78,398445.78,371755.18,239.32,282636.92,89118.26,0.239723,false,USD
00k000000000096AAA,006000000000036AAA,01t000000000032AAA,1428,329.77,0.065,308.33,470911.56,440295.24,199.36,284686.08,155609.16,0.35342,false,USD
00k000000000097AAA,006000000000036AAA,01t000000000065AAA,943,319.51,0.0915,290.27,301297.93,273724.61,228.94,215890.42,57834.19,0.211286,false,USD
00k000000000098AAA,006000000000036AAA,01t000000000025AAA,4018,73.78,0.0969,66.63,296448.04,267719.34,51.29,206083.22,61636.12,0.230227,false,USD
00k000000000099AAA,006000000000036AAA,01t000000000049AAA,1518,356.33,0.0705,331.21,540908.94,502776.78,244.93,371803.74,130973.04,0.260499,false,USD
00k000000000100AAA,006000000000037AAA,01t000000000024AAA,1332,328.05,0.079,302.13,436962.6,402437.16,221.7,295304.4,107132.76,0.26621,false,USD
00k000000000101AAA,006000000000037AAA,01t000000000055AAA,1522,236.27,0.0702,219.68,359602.94,334352.96,130.02,197890.44,136462.52,0.408139,false,USD
00k000000000102AAA,006000000000037AAA,01t000000000032AAA,1267,325.23,0.0693,302.69,412066.41,383508.23,199.36,252589.12,130919.11,0.341372,false,USD
00k000000000103AAA,006000000000037AAA,01t000000000069AAA,1266,348.26,0.0498,330.92,440897.16,418944.72,218.13,276152.58,142792.14,0.340838,false,USD
00k000000000104AAA,006000000000038AAA,01t000000000061AAA,2113,205.61,0.0893,187.25,434453.93,395659.25,138.34,292312.42,103346.83,0.261202,false,USD
00k000000000105AAA,006000000000038AAA,01t000000000003AAA,1784,197.83,0.0811,181.79,352928.72,324313.36,125.5,223892,100421.36,0.309643,false,USD
00k000000000106AAA,006000000000038AAA,01t000000000015AAA,1120,304.27,0.0865,277.95,340782.4,311304,168.05,188216,123088,0.395395,false,USD
00k000000000107AAA,006000000000038AAA,01t000000000049AAA,1012,355.42,0.0589,334.49,359685.04,338503.88,244.93,247869.16,90634.72,0.267751,false,USD
00k000000000108AAA,006000000000039AAA,01t000000000056AAA,2349,205.45,0.0894,187.08,482602.05,439450.92,130.96,307625.04,131825.88,0.299979,false,USD
00k000000000109AAA,006000000000039AAA,01t000000000034AAA,1333,222.09,0.062,208.32,296045.97,277690.56,148.57,198043.81,79646.75,0.286818,false,USD
00k000000000110AAA,006000000000039AAA,01t000000000026AAA,1364,306.61,0.0874,279.81,418216.04,381660.84,198.27,270440.28,111220.56,0.291412,false,USD
00k000000000111AAA,006000000000039AAA,01t000000000075AAA,585,633.13,0.1084,564.5,370381.05,330232.5,356.45,208523.25,121709.25,0.368556,false,USD
00k000000000112AAA,006000000000040AAA,01t000000000024AAA,1176,325.38,0.0522,308.4,382646.88,362678.4,221.7,260719.2,101959.2,0.281128,false,USD
00k000000000113AAA,006000000000040AAA,01t000000000004AAA,712,389.33,0.0551,367.88,277202.96,261930.56,267.02,190118.24,71812.32,0.274165,false,USD
00k000000000114AAA,006000000000040AAA,01t000000000030AAA,1787,164.79,0.0442,157.51,294479.73,281470.37,108.56,193996.72,87473.65,0.310774,false,USD
00k000000000115AAA,006000000000040AAA,01t000000000069AAA,1399,344.65,0.0794,317.28,482165.35,443874.72,218.13,305163.87,138710.85,0.3125,false,USD
00k000000000116AAA,006000000000041AAA,01t000000000025AAA,4919,71.14,0.0749,65.81,349937.66,323719.39,51.29,252295.51,71423.88,0.220635,false,USD
00k000000000117AAA,006000000000041AAA,01t000000000064AAA,1870,240.69,0.0719,223.38,450090.3,417720.6,161.48,301967.6,115753,0.277106,false,USD
00k000000000118AAA,006000000000041AAA,01t000000000034AAA,1996,224.43,0.0547,212.15,447962.28,423451.4,148.57,296545.72,126905.68,0.299694,false,USD
00k000000000119AAA,006000000000041AAA,01t000000000052AAA,5291,107.17,0.0731,99.34,567036.47,525607.94,62.85,332539.35,193068.59,0.367324,false,USD
00k000000000120AAA,006000000000042AAA,01t000000000053AAA,1578,232.81,0.0651,217.65,367374.18,343451.7,158.05,249402.9,94048.8,0.273834,false,USD
00k000000000121AAA,006000000000042AAA,01t000000000020AAA,979,375.28,0.0778,346.08,367399.12,338812.32,218.34,213754.86,125057.46,0.369105,false,USD
00k000000000122AAA,006000000000042AAA,01t000000000029AAA,1769,226.17,0.0422,216.63,400094.73,383218.47,153.08,270798.52,112419.95,0.293357,false,USD
00k000000000123AAA,006000000000042AAA,01t000000000049AAA,1094,358.22,0.063,335.65,391892.68,367201.1,244.93,267953.42,99247.68,0.270282,false,USD
00k000000000124AAA,006000000000043AAA,01t000000000046AAA,4627,79.82,0.0899,72.64,369327.14,336105.28,53.15,245925.05,90180.23,0.268309,false,USD
00k000000000125AAA,006000000000043AAA,01t000000000013AAA,1636,327.32,0.0953,296.13,535495.52,484468.68,195.82,320361.52,164107.16,0.338736,false,USD
00k000000000126AAA,006000000000043AAA,01t000000000027AAA,752,410.94,0.0323,397.67,309026.88,299047.84,251.82,189368.64,109679.2,0.366761,false,USD
00k000000000127AAA,006000000000043AAA,01t000000000059AAA,1407,211.77,0.0481,201.58,297960.39,283623.06,136.27,191731.89,91891.17,0.32399,false,USD
00k000000000128AAA,006000000000044AAA,01t000000000043AAA,1678,218.5,0.0571,206.02,366643,345701.56,128.91,216310.98,129390.58,0.374284,false,USD
00k000000000129AAA,006000000000044AAA,01t000000000053AAA,1190,237.38,0.0586,223.47,282482.2,265929.3,158.05,188079.5,77849.8,0.292746,false,USD
00k000000000130AAA,006000000000044AAA,01t000000000012AAA,1083,387.32,0.0651,362.11,419467.56,392165.13,249.67,270392.61,121772.52,0.310513,false,USD
00k000000000131AAA,006000000000044AAA,01t000000000023AAA,1189,346.96,0.05,329.61,412535.44,391906.29,222.39,264421.71,127484.58,0.325294,false,USD
00k000000000132AAA,006000000000045AAA,01t000000000003AAA,1095,210.87,0.0792,194.17,230902.65,212616.15,125.5,137422.5,75193.65,0.353659,false,USD
00k000000000133AAA,006000000000045AAA,01t000000000057AAA,2972,128.96,0.1174,113.82,383269.12,338273.04,72.85,216510.2,121762.84,0.359954,false,USD
00k000000000134AAA,006000000000045AAA,01t000000000069AAA,1266,357.07,0.0847,326.83,452050.62,413766.78,218.13,276152.58,137614.2,0.332589,false,USD
00k000000000135AAA,006000000000045AAA,01t000000000037AAA,1171,368.3,0.0885,335.71,431279.3,393116.41,244.43,286227.53,106888.88,0.271901,false,USD
00k000000000136AAA,006000000000046AAA,01t000000000029AAA,1971,228.71,0.0583,215.38,450787.41,424513.98,153.08,301720.68,122793.3,0.289256,false,USD
00k000000000137AAA,006000000000046AAA,01t000000000063AAA,765,457.27,0.0636,428.19,349811.55,327565.35,264.31,202197.15,125368.2,0.382727,false,USD
00k000000000138AAA,006000000000046AAA,01t000000000062AAA,1365,198.82,0.0565,187.59,271389.3,256060.35,121.05,165233.25,90827.1,0.35471,false,USD
00k000000000139AAA,006000000000046AAA,01t000000000019AAA,1009,353.83,0.0606,332.39,357014.47,335381.51,228.88,230939.92,104441.59,0.311411,false,USD
00k000000000140AAA,006000000000046AAA,01t000000000013AAA,1072,320.96,0.0965,289.99,344069.12,310869.28,195.82,209919.04,100950.24,0.324735,false,USD
00k000000000141AAA,006000000000047AAA,01t000000000073AAA,1591,215.17,0.0834,197.22,342335.47,313777.02,136.74,217553.34,96223.68,0.306663,false,USD
00k000000000142AAA,006000000000047AAA,01t000000000055AAA,1813,241.76,0.0781,222.88,438310.88,404081.44,130.02,235726.26,168355.18,0.416637,false,USD
00k000000000143AAA,006000000000047AAA,01t000000000044AAA,1341,419.31,0.0686,390.55,562294.71,523727.55,243.46,326479.86,197247.69,0.376623,false,USD
00k000000000144AAA,006000000000047AAA,01t000000000038AAA,1810,209.74,0.0954,189.73,379629.4,343411.3,127.14,230123.4,113287.9,0.32989,false,USD
00k000000000145AAA,006000000000047AAA,01t000000000021AAA,837,327.18,0.0924,296.95,273849.66,248547.15,239.32,200310.84,48236.31,0.194073,false,USD
00k000000000146AAA,006000000000048AAA,01t000000000018AAA,2077,151.3,0.1038,135.6,314250.1,281641.2,92.07,191229.39,90411.81,0.321018,false,USD
00k000000000147AAA,006000000000048AAA,01t000000000047AAA,1388,321.69,0.0874,293.57,446505.72,407475.16,213.19,295907.72,111567.44,0.273802,false,USD
00k000000000148AAA,006000000000048AAA,01t000000000056AAA,1651,203.23,0.0601,191.02,335532.73,315374.02,130.96,216214.96,99159.06,0.314417,false,USD
00k000000000149AAA,006000000000048AAA,01t000000000006AAA,608,452.74,0.0996,407.65,275265.92,247851.2,301.3,183190.4,64660.8,0.260886,false,USD
00k000000000150AAA,006000000000048AAA,01t000000000029AAA,1927,234.75,0.0889,213.88,452363.25,412146.76,153.08,294985.16,117161.6,0.284272,false,USD
00k000000000151AAA,006000000000049AAA,01t000000000020AAA,936,386.2,0.0474,367.89,361483.2,344345.04,218.34,204366.24,139978.8,0.406507,false,USD
00k000000000152AAA,006000000000049AAA,01t000000000052AAA,4985,99.26,0.0569,93.61,494811.1,466645.85,62.85,313307.25,153338.6,0.328597,false,USD
00k000000000153AAA,006000000000049AAA,01t000000000066AAA,1244,425.06,0.0752,393.1,528774.64,489016.4,251.52,312890.88,176125.52,0.360163,false,USD
00k000000000154AAA,006000000000049AAA,01t000000000037AAA,1194,378.52,0.0877,345.32,451952.88,412312.08,244.43,291849.42,120462.66,0.292164,false,USD
00k000000000155AAA,006000000000049AAA,01t000000000004AAA,946,407.05,0.0641,380.96,385069.3,360388.16,267.02,252600.92,107787.24,0.299087,false,USD
00k000000000156AAA,006000000000050AAA,01t000000000030AAA,2028,153.99,0.0619,144.46,312291.72,292964.88,108.56,220159.68,72805.2,0.248512,false,USD
00k000000000157AAA,006000000000050AAA,01t000000000071AAA,1320,468.03,0.0359,451.23,617799.6,595623.6,299.11,394825.2,200798.4,0.337123,false,USD
00k000000000158AAA,006000000000050AAA,01t000000000061AAA,2537,203.36,0.0412,194.98,515924.32,494664.26,138.34,350968.58,143695.68,0.290491,false,USD
00k000000000159AAA,006000000000050AAA,01t000000000043AAA,2791,225.02,0.1138,199.41,628030.82,556553.31,128.91,359787.81,196765.5,0.353543,false,USD
00k000000000160AAA,006000000000050AAA,01t000000000025AAA,4916,71.85,0.0845,65.78,353214.6,323374.48,51.29,252141.64,71232.84,0.22028,false,USD
00k000000000161AAA,006000000000051AAA,01t000000000072AAA,839,596.73,0.0648,558.06,500656.47,468212.34,412.18,345819.02,122393.32,0.261406,false,USD
00k000000000162AAA,006000000000051AAA,01t000000000009AAA,1289,346.29,0.0785,319.11,446367.81,411332.79,203.75,262633.75,148699.04,0.361505,false,USD
00k000000000163AAA,006000000000051AAA,01t000000000057AAA,3556,122.2,0.0815,112.24,434543.2,399125.44,72.85,259054.6,140070.84,0.350944,false,USD
00k000000000164AAA,006000000000051AAA,01t000000000037AAA,1154,372.09,0.0869,339.76,429391.86,392083.04,244.43,282072.22,110010.82,0.28058,false,USD
00k000000000165AAA,006000000000051AAA,01t000000000019AAA,1305,353.15,0.0582,332.6,460860.75,434043,228.88,298688.4,135354.6,0.311846,false,USD
00k000000000166AAA,006000000000052AAA,01t000000000067AAA,2105,206.74,0.054,195.58,435187.7,411695.9,130.51,274723.55,136972.35,0.332703,false,USD
00k000000000167AAA,006000000000052AAA,01t000000000057AAA,3542,128.61,0.0562,121.38,455536.62,429927.96,72.85,258034.7,171893.26,0.399819,false,USD
00k000000000168AAA,006000000000052AAA,01t000000000019AAA,761,343.95,0.0735,318.67,261745.95,242507.87,228.88,174177.68,68330.19,0.281765,false,USD
00k000000000169AAA,006000000000052AAA,01t000000000031AAA,1067,386.86,0.0852,353.9,412779.62,377611.3,237.31,253209.77,124401.53,0.329443,false,USD
00k000000000170AAA,006000000000052AAA,01t000000000043AAA,1943,225.51,0.0443,215.52,438165.93,418755.36,128.91,250472.13,168283.23,0.401865,false,USD
00k000000000171AAA,006000000000053AAA,01t000000000044AAA,709,410.87,0.0764,379.48,291306.83,269051.32,243.46,172613.14,96438.18,0.358438,false,USD
00k000000000172AAA,006000000000053AAA,01t000000000064AAA,1770,240.79,0.097,217.43,426198.3,384851.1,161.48,285819.6,99031.5,0.257324,false,USD
00k000000000173AAA,006000000000053AAA,01t000000000020AAA,952,395.86,0.039,380.42,376858.72,362159.84,218.34,207859.68,154300.16,0.426055,false,USD
00k000000000174AAA,006000000000053AAA,01t000000000003AAA,1791,196.13,0.0982,176.87,351268.83,316774.17,125.5,224770.5,92003.67,0.290439,false,USD
00k000000000175AAA,006000000000053AAA,01t000000000060AAA,1583,253.83,0.0779,234.06,401812.89,370516.98,164.46,260340.18,110176.8,0.29736,false,USD
