OpportunityId,OpportunityName,AccountId,OwnerUserId,OpportunityType,VehicleProgramName,VehicleSegment,PowertrainType,StageName,ForecastCategory,Probability,Amount,CurrencyIsoCode,CreatedDate,OriginalCloseDate,PriorCloseDate,CloseDate,CloseDateChangeCount,IsClosed,IsWon,LossReason,LeadSource,CustomerNeed,NextStep,LastActivityDate
006000000000011AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0011,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,771087.1,USD,2023-01-07,2023-07-27,,2023-07-27,0,true,true,,Trade Event,Platform Launch,,2023-07-21
006000000000012AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0012,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Proposal or Quote,Best Case,0.6,680053.5,USD,2023-09-17,2026-08-19,,2026-08-19,0,false,false,,Referral,Platform Launch,Confirm program timing,2026-05-28
006000000000013AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0013,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,724714.02,USD,2023-04-09,2023-10-14,,2023-10-14,0,true,true,,RFQ,Platform Launch,,2023-10-08
006000000000014AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0014,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,554548.18,USD,2023-08-12,2024-02-26,,2024-02-26,0,true,false,Competitor,Partner,Platform Launch,,2024-02-07
006000000000015AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0015,001000000000001AAA,005000000000011AAA,New Program,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,601698.46,USD,2023-08-13,2024-02-06,,2024-02-06,0,true,false,Price,RFQ,Platform Launch,,2024-01-30
006000000000016AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0016,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1057832.65,USD,2024-09-12,2025-02-06,,2025-02-06,0,true,false,Technical Fit,Inbound,Platform Launch,,2025-01-26
006000000000017AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0017,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,784799.67,USD,2024-04-11,2024-09-04,,2024-09-04,0,true,false,Competitor,Referral,Platform Launch,,2024-08-24
006000000000018AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0018,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1077446.04,USD,2024-01-01,2024-05-22,,2024-05-22,0,true,false,Technical Fit,Trade Event,Platform Launch,,2024-05-10
006000000000019AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0019,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1021106.29,USD,2024-11-01,2025-04-17,,2025-04-17,0,true,false,Price,Existing Relationship,Platform Launch,,2025-03-27
006000000000020AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0020,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,949971.71,USD,2024-09-06,2025-02-03,,2025-02-03,0,true,false,Price,Existing Relationship,Platform Launch,,2025-01-24
006000000000021AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0021,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1055677.63,USD,2024-10-26,2025-03-18,,2025-03-18,0,true,false,No Decision,RFQ,Platform Launch,,2025-03-16
006000000000022AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0022,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1001547.4,USD,2024-02-01,2024-07-08,,2024-07-08,0,true,false,Price,Trade Event,Platform Launch,,2024-06-16
006000000000023AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0023,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Technical Review,Pipeline,0.4,1102154.05,USD,2024-02-01,2026-11-15,,2026-11-15,0,false,false,,Existing Relationship,Platform Launch,Confirm program timing,2026-05-27
006000000000024AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0024,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1075135.36,USD,2024-02-18,2024-08-13,,2024-08-13,0,true,false,Timing,Referral,Platform Launch,,2024-07-24
006000000000025AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0025,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,874694.86,USD,2024-11-30,2025-04-25,,2025-04-25,0,true,true,,Trade Event,Platform Launch,,2025-04-23
006000000000026AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0026,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,1092449.76,USD,2024-10-07,2025-03-12,,2025-03-12,0,true,true,,Existing Relationship,Platform Launch,,2025-03-11
006000000000027AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0027,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1077838.81,USD,2024-09-06,2025-02-17,,2025-02-17,0,true,false,Competitor,Inbound,Platform Launch,,2025-02-13
006000000000028AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0028,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,1096437.36,USD,2024-11-28,2025-04-28,,2025-04-28,0,true,true,,Existing Relationship,Platform Launch,,2025-04-24
006000000000029AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0029,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1064306.8,USD,2024-03-15,2024-08-16,,2024-08-16,0,true,false,Technical Fit,Existing Relationship,Platform Launch,,2024-08-03
006000000000030AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0030,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1087127.07,USD,2024-02-09,2024-07-29,,2024-07-29,0,true,false,Price,Referral,Platform Launch,,2024-07-19
006000000000031AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0031,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,1465252.59,USD,2025-01-06,2025-05-04,,2025-05-04,0,true,true,,Inbound,Platform Launch,,2025-04-14
006000000000032AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0032,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,1379152.84,USD,2025-07-10,2025-11-28,,2025-11-28,0,true,true,,Inbound,Platform Launch,,2025-11-22
006000000000033AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0033,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,1488383.48,USD,2025-02-13,2025-06-01,,2025-06-01,0,true,true,,Referral,Platform Launch,,2025-05-24
006000000000034AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0034,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,1354678.57,USD,2025-07-05,2025-11-16,,2025-11-16,0,true,true,,RFQ,Platform Launch,,2025-10-25
006000000000035AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0035,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Lost,Closed,0,1655300.31,USD,2025-09-23,2026-02-03,,2026-02-03,0,true,false,No Decision,Existing Relationship,Platform Launch,,2026-01-26
006000000000036AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0036,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Negotiation,Commit,0.8,1484515.97,USD,2025-08-09,2026-09-30,,2026-09-30,0,false,false,,Inbound,Platform Launch,Finalize commercial terms,2026-05-23
006000000000037AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0037,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,1539243.07,USD,2025-12-03,2026-04-02,,2026-04-02,0,true,true,,Existing Relationship,Platform Launch,,2026-03-16
006000000000038AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0038,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Proposal or Quote,Best Case,0.6,1369780.49,USD,2025-06-20,2026-09-30,,2026-09-30,0,false,false,,Referral,Platform Launch,Validate product fit,2026-06-12
006000000000039AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0039,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Lost,Closed,0,1429034.82,USD,2025-02-09,2025-06-04,,2025-06-04,0,true,false,Competitor,Existing Relationship,Platform Launch,,2025-05-29
006000000000040AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0040,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,1349954.05,USD,2025-05-29,2025-10-17,,2025-10-17,0,true,true,,Existing Relationship,Platform Launch,,2025-09-29
006000000000041AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0041,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,1690499.33,USD,2025-06-27,2025-11-15,,2025-11-15,0,true,true,,RFQ,Platform Launch,,2025-10-23
006000000000042AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0042,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Lost,Closed,0,1432683.59,USD,2025-04-09,2025-08-11,,2025-08-11,0,true,false,Timing,RFQ,Platform Launch,,2025-07-18
006000000000043AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0043,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,1403244.86,USD,2025-07-15,2025-11-29,,2025-11-29,0,true,true,,Inbound,Platform Launch,,2025-11-24
006000000000044AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0044,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,1395702.28,USD,2025-10-01,2026-01-28,,2026-01-28,0,true,true,,Referral,Platform Launch,,2026-01-18
006000000000045AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0045,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Lost,Closed,0,1357772.38,USD,2025-04-21,2025-08-26,,2025-08-26,0,true,false,No Decision,Referral,Platform Launch,,2025-08-14
006000000000046AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0046,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Proposal or Quote,Best Case,0.6,1654390.47,USD,2026-06-13,2026-09-28,,2026-09-28,0,false,false,,Trade Event,Platform Launch,Validate product fit,2026-05-18
006000000000047AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0047,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Negotiation,Commit,0.8,1833544.46,USD,2026-03-26,2026-07-06,,2026-07-06,0,false,false,,Inbound,Platform Launch,Confirm program timing,2026-05-23
006000000000048AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0048,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Proposal or Quote,Best Case,0.6,1664488.34,USD,2026-05-09,2026-08-20,,2026-08-20,0,false,false,,Inbound,Platform Launch,Finalize commercial terms,2026-06-06
006000000000049AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0049,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,2072707.53,USD,2026-03-05,2026-05-30,,2026-05-30,0,true,true,,Partner,Platform Launch,,2026-05-14
006000000000050AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0050,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Proposal or Quote,Best Case,0.6,2263180.53,USD,2026-03-30,2026-07-15,,2026-07-15,0,false,false,,RFQ,Platform Launch,Complete technical review,2026-06-11
006000000000051AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0051,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,2104796.61,USD,2026-03-24,2026-06-18,,2026-06-18,0,true,true,,RFQ,Platform Launch,,2026-06-17
006000000000052AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0052,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Proposal or Quote,Best Case,0.6,1880498.39,USD,2026-05-31,2026-09-12,,2026-09-12,0,false,false,,Trade Event,Platform Launch,Submit revised quotation,2026-06-19
006000000000053AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0053,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,1703353.41,USD,2026-02-18,2026-06-01,,2026-06-01,0,true,true,,Partner,Platform Launch,,2026-05-29
006000000000054AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0054,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Negotiation,Commit,0.8,2014551.93,USD,2026-03-07,2026-08-04,,2026-08-04,0,false,false,,RFQ,Platform Launch,Finalize commercial terms,2026-05-29
006000000000055AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0055,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,1427488.26,USD,2026-02-06,2026-05-03,,2026-05-03,0,true,true,,Inbound,Platform Launch,,2026-04-17
006000000000056AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0056,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Closed Won,Closed,1,1990519.47,USD,2026-02-26,2026-05-31,,2026-05-31,0,true,true,,RFQ,Platform Launch,,2026-05-13
006000000000057AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0057,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Qualification,Pipeline,0.2,1614485.89,USD,2026-02-01,2026-10-12,,2026-10-12,0,false,false,,RFQ,Platform Launch,Confirm program timing,2026-06-22
006000000000058AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0058,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Proposal or Quote,Best Case,0.6,1755091.43,USD,2026-05-22,2026-08-26,,2026-08-26,0,false,false,,Existing Relationship,Platform Launch,Complete technical review,2026-05-19
006000000000059AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0059,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,ICE,Closed Won,Closed,1,2060496.05,USD,2026-01-05,2026-04-06,,2026-04-06,0,true,true,,Referral,Platform Launch,,2026-03-13
006000000000060AAA,Northstar Automotive Group - Northstar Nova Compact Crossover - 0060,001000000000001AAA,005000000000011AAA,Expansion,Northstar Nova Compact Crossover,Compact Crossover,Hybrid,Proposal or Quote,Best Case,0.6,1892809.31,USD,2026-02-01,2026-07-26,,2026-07-26,0,false,false,,Referral,Platform Launch,Confirm program timing,2026-05-18
006000000000061AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0061,001000000000002AAA,005000000000019AAA,Expansion,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Lost,Closed,0,831081.03,USD,2025-05-23,2025-12-12,,2025-12-12,0,true,false,Program Cancelled,Referral,Cost Reduction,,2025-12-10
006000000000062AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0062,001000000000002AAA,005000000000019AAA,New Program,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Lost,Closed,0,1227790.91,USD,2025-02-12,2025-09-21,,2025-09-21,0,true,false,Competitor,Existing Relationship,Cost Reduction,,2025-09-17
006000000000063AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0063,001000000000002AAA,005000000000019AAA,Expansion,MetroVale UrbanGo Platform,Urban Commuter,Hybrid,Technical Review,Pipeline,0.4,1066110.31,USD,2026-02-19,2026-11-13,,2026-11-13,0,false,false,,Referral,Cost Reduction,Complete technical review,2026-06-25
006000000000064AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0064,001000000000002AAA,005000000000019AAA,Expansion,MetroVale UrbanGo Platform,Urban Commuter,ICE,Proposal or Quote,Best Case,0.6,1467761.54,USD,2025-12-04,2026-07-03,,2026-07-03,0,false,false,,RFQ,Cost Reduction,Validate product fit,2026-06-01
006000000000065AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0065,001000000000002AAA,005000000000019AAA,New Program,MetroVale UrbanGo Platform,Urban Commuter,Hybrid,Proposal or Quote,Best Case,0.6,898241.06,USD,2026-04-11,2026-12-24,,2026-12-24,0,false,false,,Inbound,Cost Reduction,Submit revised quotation,2026-06-11
006000000000066AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0066,001000000000002AAA,005000000000019AAA,Expansion,MetroVale UrbanGo Platform,Urban Commuter,Hybrid,Qualification,Pipeline,0.2,892223.18,USD,2026-06-10,2027-01-12,,2027-01-12,0,false,false,,Existing Relationship,Cost Reduction,Finalize commercial terms,2026-06-06
006000000000067AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0067,001000000000002AAA,005000000000019AAA,Expansion,MetroVale UrbanGo Platform,Urban Commuter,Hybrid,Qualification,Pipeline,0.2,1028242.12,USD,2026-03-14,2026-11-08,,2026-11-08,0,false,false,,Existing Relationship,Cost Reduction,Submit revised quotation,2026-06-13
006000000000068AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0068,001000000000002AAA,005000000000019AAA,Requote,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Won,Closed,1,1031558.36,USD,2025-04-04,2025-12-06,,2025-12-06,0,true,true,,Existing Relationship,Cost Reduction,,2025-12-02
006000000000069AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0069,001000000000002AAA,005000000000019AAA,New Program,MetroVale UrbanGo Platform,Urban Commuter,Hybrid,Qualification,Pipeline,0.2,831395.9,USD,2026-05-09,2027-01-20,,2027-01-20,0,false,false,,RFQ,Cost Reduction,Complete technical review,2026-05-26
006000000000070AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0070,001000000000002AAA,005000000000019AAA,New Program,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Won,Closed,1,1096237.76,USD,2025-08-12,2026-02-22,,2026-02-22,0,true,true,,Existing Relationship,Cost Reduction,,2026-02-21
006000000000071AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0071,001000000000002AAA,005000000000019AAA,Expansion,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Won,Closed,1,1241226.86,USD,2024-04-07,2024-11-14,,2024-11-14,0,true,true,,Partner,Cost Reduction,,2024-10-31
006000000000072AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0072,001000000000002AAA,005000000000019AAA,New Program,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Lost,Closed,0,1533213.7,USD,2025-06-02,2026-02-25,,2026-02-25,0,true,false,No Decision,Partner,Cost Reduction,,2026-02-06
006000000000073AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0073,001000000000002AAA,005000000000019AAA,Expansion,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Lost,Closed,0,1006277.95,USD,2025-05-29,2025-12-15,,2025-12-15,0,true,false,No Decision,Existing Relationship,Cost Reduction,,2025-11-22
006000000000074AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0074,001000000000002AAA,005000000000019AAA,Replacement,MetroVale UrbanGo Platform,Urban Commuter,ICE,Negotiation,Commit,0.8,1167976.85,USD,2026-01-19,2026-08-01,,2026-08-01,0,false,false,,Inbound,Cost Reduction,Confirm program timing,2026-06-03
006000000000075AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0075,001000000000002AAA,005000000000019AAA,New Program,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Lost,Closed,0,1189474.41,USD,2025-03-07,2025-09-25,,2025-09-25,0,true,false,Price,RFQ,Cost Reduction,,2025-09-21
006000000000076AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0076,001000000000002AAA,005000000000019AAA,New Program,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Won,Closed,1,899143.54,USD,2025-04-30,2025-12-08,,2025-12-08,0,true,true,,Inbound,Cost Reduction,,2025-12-05
006000000000077AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0077,001000000000002AAA,005000000000019AAA,New Program,MetroVale UrbanGo Platform,Urban Commuter,Hybrid,Proposal or Quote,Best Case,0.6,1396522.4,USD,2026-06-14,2026-12-26,,2026-12-26,0,false,false,,Inbound,Cost Reduction,Complete technical review,2026-06-20
006000000000078AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0078,001000000000002AAA,005000000000019AAA,New Program,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Lost,Closed,0,1458894.37,USD,2025-03-31,2025-11-25,,2025-11-25,0,true,false,No Decision,RFQ,Cost Reduction,,2025-11-17
006000000000079AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0079,001000000000002AAA,005000000000019AAA,Replacement,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Won,Closed,1,1267374.15,USD,2025-12-06,2026-06-29,,2026-06-29,0,true,true,,Existing Relationship,Cost Reduction,,2026-06-21
006000000000080AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0080,001000000000002AAA,005000000000019AAA,Requote,MetroVale UrbanGo Platform,Urban Commuter,Hybrid,Technical Review,Pipeline,0.4,827903.57,USD,2026-03-16,2026-11-28,,2026-11-28,0,false,false,,Existing Relationship,Cost Reduction,Confirm program timing,2026-06-04
006000000000081AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0081,001000000000002AAA,005000000000019AAA,Requote,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Lost,Closed,0,796801.77,USD,2024-08-23,2025-03-06,,2025-03-06,0,true,false,Competitor,RFQ,Cost Reduction,,2025-03-03
006000000000082AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0082,001000000000002AAA,005000000000019AAA,Requote,MetroVale UrbanGo Platform,Urban Commuter,ICE,Negotiation,Commit,0.8,892269.59,USD,2025-11-13,2026-08-08,,2026-08-08,0,false,false,,Referral,Cost Reduction,Validate product fit,2026-05-16
006000000000083AAA,MetroVale Motors - MetroVale UrbanGo Platform - 0083,001000000000002AAA,005000000000019AAA,Replacement,MetroVale UrbanGo Platform,Urban Commuter,ICE,Closed Lost,Closed,0,1314407.84,USD,2024-09-19,2025-06-01,,2025-06-01,0,true,false,Technical Fit,Existing Relationship,Cost Reduction,,2025-05-31
